,bower,kde200
X: 2016-09-17 00:00:00~2016-11-15 23:59:59 -> Y: 2016-11-16 00:00:00~2016-11-22 23:59:59,"[0.0, 2.0, 0.0, 0.0, 0.0, 7.237253733963419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8796291659036397, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.7379359962803056, 2.1093427287980164, 0.0, 2.0, 0.12037083409636025, 2.915467540958259, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0, 0.0, 7.023617100516232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8796291659036397, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.9515726297274933, 2.1093427287980164, 0.0, 2.0, 0.12037083409636025, 1.915467540958259, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.1598250093198271, 0.8401749906801731, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-09-18 00:00:00~2016-11-16 23:59:59 -> Y: 2016-11-17 00:00:00~2016-11-23 23:59:59,"[0.0, 2.0, 0.0, 0.0, 0.0, 9.237253733963419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 4.0, 1.7379359962803056, 3.1093427287980164, 0.0, 2.0, 0.0, 2.915467540958259, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0, 0.0, 7.023617100516232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 2.9515726297274933, 3.1093427287980164, 0.0, 2.0, 0.0, 1.915467540958259, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.1598250093198271, 0.8401749906801731, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
X: 2016-09-19 00:00:00~2016-11-17 23:59:59 -> Y: 2016-11-18 00:00:00~2016-11-24 23:59:59,"[1.0, 2.0, 0.0, 0.0, 0.0, 8.237253733963419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 4.0, 1.7379359962803056, 3.0, 0.0, 1.0, 0.0, 0.02481026975627541, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.1598250093198271, 0.8401749906801731, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0, 0.0, 6.023617100516232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4.0, 1.9515726297274933, 3.0, 0.0, 1.0, 0.0, 1.0248102697562753, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.1598250093198271, 0.8401749906801731, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
X: 2016-09-20 00:00:00~2016-11-18 23:59:59 -> Y: 2016-11-19 00:00:00~2016-11-25 23:59:59,"[1.0, 1.0, 0.0, 1.0, 0.0, 7.226444362427483, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4.0, 0.13037894237966702, 2.869621057620333, 0.0, 0.0, 0.0, 0.7735556375725171, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 6.012807728980295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.21363663344718772, 2.0, 0.0, 0.0, 0.0, 1.773555637572517, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-09-21 00:00:00~2016-11-19 23:59:59 -> Y: 2016-11-20 00:00:00~2016-11-26 23:59:59,"[1.0, 1.0, 0.0, 1.0, 0.0, 5.768984381614743, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.4307259920343345, 0.0, 0.0, 5.0, 0.3440155758268547, 2.869621057620333, 0.0, 0.0, 0.0, 0.01737898493806975, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.5692740079656653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 5.768984381614743, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.21363663344718772, 2.0, 0.0, 0.0, 0.0, 1.0173789849380697, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-09-22 00:00:00~2016-11-20 23:59:59 -> Y: 2016-11-21 00:00:00~2016-11-27 23:59:59,"[1.0, 1.0, 0.0, 1.0, 1.0, 2.9826210150619303, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.4307259920343345, 0.0, 0.0, 5.0, 0.13037894237966702, 2.869621057620333, 0.0, 0.0, 0.0, 0.01737898493806975, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.5692740079656653, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0, 1.0, 2.9826210150619303, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0173789849380697, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-09-23 00:00:00~2016-11-21 23:59:59 -> Y: 2016-11-22 00:00:00~2016-11-28 23:59:59,"[2.0, 0.0, 0.0, 1.0, 1.0, 2.9826210150619303, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.4307259920343345, 1.0, 0.0, 3.0, 1.130378942379667, 3.869621057620333, 0.0, 1.0, 0.0, 1.0173789849380697, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.5692740079656653, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 1.0, 3.606658256732455, 0.0, 1.0, 1.0, 0.0, 0.4897861254175872, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.5102138745824127, 0.0, 0.0, 1.0, 0.0, 4.0, 1.3759627583294751, 3.0, 0.0, 1.0, 0.0, 1.0173789849380697, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-09-24 00:00:00~2016-11-22 23:59:59 -> Y: 2016-11-23 00:00:00~2016-11-29 23:59:59,"[2.0, 0.0, 0.0, 1.0, 1.0, 0.9826210150619304, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.4307259920343345, 1.0, 0.0, 3.0, 1.130378942379667, 2.869621057620333, 0.0, 1.0, 1.0, 1.0173789849380697, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5692740079656653, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 1.0, 1.0, 1.6066582567324552, 0.0, 1.0, 1.0, 0.0, 0.4897861254175872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5102138745824127, 0.0, 0.0, 1.0, 0.0, 4.0, 1.5063417007091422, 2.869621057620333, 0.0, 1.0, 0.0, 2.0173789849380697, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-09-25 00:00:00~2016-11-23 23:59:59 -> Y: 2016-11-24 00:00:00~2016-11-30 23:59:59,"[3.0, 0.0, 0.0, 1.0, 1.0, 0.9826210150619304, 0.0, 1.0, 1.0, 0.0, 0.4897861254175872, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.5102138745824127, 0.0, 0.0, 1.0, 0.0, 0.0, 1.130378942379667, 1.8696210576203331, 0.0, 1.0, 1.0, 1.0173789849380697, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8622025402293648, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.09846851517872207, 0.0, 0.0]","[2.0, 0.0, 0.0, 1.0, 1.0, 1.6066582567324552, 0.0, 1.0, 1.0, 0.0, 0.4897861254175872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5102138745824127, 0.0, 0.0, 1.0, 0.0, 0.0, 2.506341700709142, 1.8696210576203331, 0.0, 1.0, 0.0, 2.0173789849380697, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-09-26 00:00:00~2016-11-24 23:59:59 -> Y: 2016-11-25 00:00:00~2016-12-01 23:59:59,"[3.0, 0.0, 1.0, 1.0, 1.0, 1.6066582567324552, 0.0, 1.0, 3.0, 0.0, 0.4897861254175872, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.188176384948881, 1.0, 0.0, 1.0, 0.0, 0.33683055630426795, 1.5063417007091422, 1.8696210576203331, 0.0, 1.3220374896335314, 2.0, 2.0173789849380697, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.8622025402293648, 0.0, 0.0, 1.0, 0.663169443695732, 0.0, 1.0, 0.0, 1.0, 0.0, 0.09846851517872207, 0.0, 0.0]","[3.0, 0.0, 0.0, 1.0, 1.0, 1.6066582567324552, 0.0, 1.0, 3.0, 0.0, 0.4897861254175872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.188176384948881, 1.0, 0.0, 1.0, 0.0, 0.33683055630426795, 2.506341700709142, 1.8696210576203331, 0.0, 1.3220374896335314, 0.0, 2.0173789849380697, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.663169443695732, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
