,kde200,bower
X: 2016-10-21 00:00:00~2016-12-19 23:59:59 -> Y: 2016-12-20 00:00:00~2016-12-26 23:59:59,"[0.47402597402597402, 1.5215465582825283, 2.3701545705610112]","[0.5, 1.6049189724349957, 2.5000260538794228]"
X: 2016-10-22 00:00:00~2016-12-20 23:59:59 -> Y: 2016-12-21 00:00:00~2016-12-27 23:59:59,"[0.49264705882352944, 1.3964879370538272, 2.4632609648517843]","[0.50735294117647056, 1.4381741441300611, 2.5367911429070609]"
X: 2016-10-23 00:00:00~2016-12-21 23:59:59 -> Y: 2016-12-22 00:00:00~2016-12-28 23:59:59,"[0.52447552447552448, 1.5632327653587619, 2.622404951621772]","[0.53146853146853146, 1.5933749148278211, 2.672969988238084]"
X: 2016-10-24 00:00:00~2016-12-22 23:59:59 -> Y: 2016-12-23 00:00:00~2016-12-29 23:59:59,"[0.54814814814814816, 1.5423896618206452, 2.740769303512256]","[0.57037037037037042, 1.6049189724349957, 2.8518815725735638]"
X: 2016-10-25 00:00:00~2016-12-23 23:59:59 -> Y: 2016-12-24 00:00:00~2016-12-30 23:59:59,"[0.5625, 1.5007034547444116, 2.8125293106143503]","[0.546875, 1.4665828619316992, 2.7485825214749631]"
X: 2016-10-26 00:00:00~2016-12-24 23:59:59 -> Y: 2016-12-25 00:00:00~2016-12-31 23:59:59,"[0.60769230769230764, 1.6466051795112293, 3.0384932039457597]","[0.56923076923076921, 1.5423896618206452, 2.8461835074934965]"
X: 2016-10-27 00:00:00~2016-12-25 23:59:59 -> Y: 2016-12-26 00:00:00~2017-01-01 23:59:59,"[0.63235294117647056, 1.792506904278047, 3.1617976563769168]","[0.56617647058823528, 1.6049189724349957, 2.8309118551281696]"
X: 2016-10-28 00:00:00~2016-12-26 23:59:59 -> Y: 2016-12-27 00:00:00~2017-01-02 23:59:59,"[0.62589928057553956, 1.813350007816164, 3.1295290170864716]","[0.58992805755395683, 1.7097581317764803, 2.9507473254090639]"
X: 2016-10-29 00:00:00~2016-12-27 23:59:59 -> Y: 2016-12-28 00:00:00~2017-01-03 23:59:59,"[0.6428571428571429, 2.0634672502735656, 3.2143192121306865]","[0.57792207792207795, 1.8550362148923976, 2.8896405038346575]"
X: 2016-10-30 00:00:00~2016-12-28 23:59:59 -> Y: 2016-12-29 00:00:00~2017-01-04 23:59:59,"[0.62658227848101267, 2.0634672502735656, 3.1329440422033272]","[0.57594936708860756, 1.8967224219686312, 2.879776846873765]"
X: 2016-10-31 00:00:00~2016-12-29 23:59:59 -> Y: 2016-12-30 00:00:00~2017-01-05 23:59:59,"[0.64634146341463417, 2.2093689750403835, 3.2317409964782779]","[0.59146341463414631, 2.0217810431973322, 2.9573478930037069]"
X: 2016-11-01 00:00:00~2016-12-30 23:59:59 -> Y: 2016-12-31 00:00:00~2017-01-06 23:59:59,"[0.61627906976744184, 2.2093689750403835, 3.0814274617583579]","[0.58139534883720934, 2.08474487934539, 2.9076130761986376]"
X: 2016-11-02 00:00:00~2016-12-31 23:59:59 -> Y: 2017-01-01 00:00:00~2017-01-07 23:59:59,"[0.58433734939759041, 2.0217810431973322, 2.9217171954976386]","[0.57228915662650603, 1.9800948361210984, 2.8614756038378935]"
X: 2016-11-03 00:00:00~2017-01-01 23:59:59 -> Y: 2017-01-02 00:00:00~2017-01-08 23:59:59,"[0.59876543209876543, 2.0217810431973322, 2.9938583608185678]","[0.54320987654320985, 1.8341931113542806, 2.7160776881652984]"
X: 2016-11-04 00:00:00~2017-01-02 23:59:59 -> Y: 2017-01-03 00:00:00~2017-01-09 23:59:59,"[0.56521739130434778, 1.8967224219686312, 2.82611640873326]","[0.53416149068322982, 1.7929740435734391, 2.6715313249244241]"
X: 2016-11-05 00:00:00~2017-01-03 23:59:59 -> Y: 2017-01-04 00:00:00~2017-01-10 23:59:59,"[0.5679012345679012, 1.9175655255067481, 2.8395357649000847]","[0.55555555555555558, 1.8758793184305143, 2.7778067265326918]"
X: 2016-11-06 00:00:00~2017-01-04 23:59:59 -> Y: 2017-01-05 00:00:00~2017-01-11 23:59:59,"[0.59393939393939399, 2.0426241467354491, 2.9697279185476781]","[0.58787878787878789, 2.0217810431973322, 2.9394245724400485]"
X: 2016-11-07 00:00:00~2017-01-05 23:59:59 -> Y: 2017-01-06 00:00:00~2017-01-12 23:59:59,"[0.5741935483870968, 1.8550362148923976, 2.8709976618744339]","[0.58064516129032262, 1.8758793184305143, 2.9032560625696524]"
X: 2016-11-08 00:00:00~2017-01-06 23:59:59 -> Y: 2017-01-07 00:00:00~2017-01-13 23:59:59,"[0.62987012987012991, 2.0217810431973322, 3.1493834704714807]","[0.61038961038961037, 1.9592517325829817, 3.0519798579826718]"
X: 2016-11-09 00:00:00~2017-01-07 23:59:59 -> Y: 2017-01-08 00:00:00~2017-01-14 23:59:59,"[0.64150943396226412, 2.1259965608879163, 3.2075805974302023]","[0.61006289308176098, 2.0217810431973322, 3.0503462544189182]"
X: 2016-11-10 00:00:00~2017-01-08 23:59:59 -> Y: 2017-01-09 00:00:00~2017-01-15 23:59:59,"[0.62048192771084343, 2.1468396644260332, 3.1024419704768742]","[0.60240963855421692, 2.0843103538116825, 3.0120795829872562]"
X: 2016-11-11 00:00:00~2017-01-09 23:59:59 -> Y: 2017-01-10 00:00:00~2017-01-16 23:59:59,"[0.6402439024390244, 2.1885258715022666, 3.2012528738699926]","[0.62804878048780488, 2.1469515372589894, 3.1404402699576761]"
X: 2016-11-12 00:00:00~2017-01-10 23:59:59 -> Y: 2017-01-11 00:00:00~2017-01-17 23:59:59,"[0.64814814814814814, 2.1885258715022666, 3.2407745142881406]","[0.64814814814814814, 2.1889821233126594, 3.2414501330955177]"
X: 2016-11-13 00:00:00~2017-01-11 23:59:59 -> Y: 2017-01-12 00:00:00~2017-01-18 23:59:59,"[0.66025641025641024, 2.1468396644260332, 3.3013164557638528]","[0.66025641025641024, 2.1468396644260332, 3.3013164557638528]"
X: 2016-11-14 00:00:00~2017-01-12 23:59:59 -> Y: 2017-01-13 00:00:00~2017-01-19 23:59:59,"[0.66242038216560506, 2.1676827679641497, 3.3121364280695533]","[0.66242038216560506, 2.1693783896537338, 3.3147272732104089]"
X: 2016-11-15 00:00:00~2017-01-13 23:59:59 -> Y: 2017-01-14 00:00:00~2017-01-20 23:59:59,"[0.63398692810457513, 2.0217810431973322, 3.1699676761608364]","[0.64052287581699341, 2.0426241467354491, 3.2026477552965149]"
X: 2016-11-16 00:00:00~2017-01-14 23:59:59 -> Y: 2017-01-15 00:00:00~2017-01-21 23:59:59,"[0.65000000000000002, 2.1676827679641497, 3.2500338700432496]","[0.64375000000000004, 2.1469515372589894, 3.2189512767066186]"
X: 2016-11-17 00:00:00~2017-01-15 23:59:59 -> Y: 2017-01-16 00:00:00~2017-01-22 23:59:59,"[0.69736842105263153, 2.2093689750403835, 3.4868784435686679]","[0.67763157894736847, 2.1468396644260332, 3.388193204599744]"
X: 2016-11-18 00:00:00~2017-01-16 23:59:59 -> Y: 2017-01-17 00:00:00~2017-01-23 23:59:59,"[0.69032258064516128, 2.2302120785785005, 3.451648874388364]","[0.6645161290322581, 2.1468396644260332, 3.322615271607491]"
X: 2016-11-19 00:00:00~2017-01-17 23:59:59 -> Y: 2017-01-18 00:00:00~2017-01-24 23:59:59,"[0.71333333333333337, 2.2302120785785005, 3.5667038368679767]","[0.65333333333333332, 2.0426241467354491, 3.2667007104024455]"
X: 2016-11-20 00:00:00~2017-01-18 23:59:59 -> Y: 2017-01-19 00:00:00~2017-01-25 23:59:59,"[0.68152866242038213, 2.2302120785785005, 3.407678825033098]","[0.64331210191082799, 2.1051534573497994, 3.2165940311060086]"
X: 2016-11-21 00:00:00~2017-01-19 23:59:59 -> Y: 2017-01-20 00:00:00~2017-01-26 23:59:59,"[0.66857142857142859, 2.4386431139596687, 3.3428919806159136]","[0.64571428571428569, 2.3552706998072015, 3.2286050752957114]"
X: 2016-11-22 00:00:00~2017-01-20 23:59:59 -> Y: 2017-01-21 00:00:00~2017-01-27 23:59:59,"[0.64971751412429379, 2.3969569068834349, 3.2486214259450126]","[0.63276836158192096, 2.3344275962690846, 3.1638747800507949]"
X: 2016-11-23 00:00:00~2017-01-21 23:59:59 -> Y: 2017-01-22 00:00:00~2017-01-28 23:59:59,"[0.6292134831460674, 2.3344275962690846, 3.1461002026347789]","[0.5955056179775281, 2.2093689750403835, 2.9775591203507732]"
X: 2016-11-24 00:00:00~2017-01-22 23:59:59 -> Y: 2017-01-23 00:00:00~2017-01-29 23:59:59,"[0.60773480662983426, 2.2927413891928508, 3.0387057008479168]","[0.58563535911602205, 2.2093689750403835, 2.9282073117261742]"
X: 2016-11-25 00:00:00~2017-01-23 23:59:59 -> Y: 2017-01-24 00:00:00~2017-01-30 23:59:59,"[0.60215053763440862, 2.3344275962690846, 3.0107840648870465]","[0.55913978494623651, 2.1676827679641497, 2.7957280602522574]"
X: 2016-11-26 00:00:00~2017-01-24 23:59:59 -> Y: 2017-01-25 00:00:00~2017-01-31 23:59:59,"[0.61413043478260865, 2.3552706998072015, 3.0706841748736382]","[0.56521739130434778, 2.1676827679641497, 2.82611640873326]"
X: 2016-11-27 00:00:00~2017-01-25 23:59:59 -> Y: 2017-01-26 00:00:00~2017-02-01 23:59:59,"[0.5977011494252874, 2.1676827679641497, 2.9885368919937929]","[0.55747126436781613, 2.0217810431973322, 2.7873853704172875]"
X: 2016-11-28 00:00:00~2017-01-26 23:59:59 -> Y: 2017-01-27 00:00:00~2017-02-02 23:59:59,"[0.5864197530864198, 1.9800948361210984, 2.9321293224511749]","[0.54320987654320985, 1.8341931113542806, 2.7160776881652984]"
X: 2016-11-29 00:00:00~2017-01-27 23:59:59 -> Y: 2017-01-28 00:00:00~2017-02-03 23:59:59,"[0.59493670886075944, 1.9592517325829817, 2.9747145451223509]","[0.53164556962025311, 1.7509119332985932, 2.6583940739177181]"
X: 2016-11-30 00:00:00~2017-01-28 23:59:59 -> Y: 2017-01-29 00:00:00~2017-02-04 23:59:59,"[0.6174496644295302, 1.9175655255067481, 3.0872804960658642]","[0.52348993288590606, 1.6261010058894043, 2.6180226194819411]"
X: 2016-12-01 00:00:00~2017-01-29 23:59:59 -> Y: 2017-01-30 00:00:00~2017-02-05 23:59:59,"[0.63194444444444442, 1.8967224219686312, 3.1597551514309368]","[0.52083333333333337, 1.5632327653587619, 2.6041938061243988]"
X: 2016-12-02 00:00:00~2017-01-30 23:59:59 -> Y: 2017-01-31 00:00:00~2017-02-06 23:59:59,"[0.62121212121212122, 1.7091344901255798, 3.1060929760320097]","[0.55303030303030298, 1.5215465582825283, 2.7651803323211794]"
X: 2016-12-03 00:00:00~2017-01-31 23:59:59 -> Y: 2017-02-01 00:00:00~2017-02-07 23:59:59,"[0.59999999999999998, 1.6882913865874629, 3.0000312646553069]","[0.48888888888888887, 1.3756448335157105, 2.4444699193487689]"
X: 2016-12-04 00:00:00~2017-02-01 23:59:59 -> Y: 2017-02-02 00:00:00~2017-02-08 23:59:59,"[0.59842519685039375, 1.5840758688968788, 2.9921571668478131]","[0.51181102362204722, 1.3548017299775936, 2.5590817874356295]"
X: 2016-12-05 00:00:00~2017-02-02 23:59:59 -> Y: 2017-02-03 00:00:00~2017-02-09 23:59:59,"[0.55555555555555558, 1.4590172476681778, 2.7778067265326918]","[0.5, 1.3132523841784356, 2.500286622544166]"
X: 2016-12-06 00:00:00~2017-02-03 23:59:59 -> Y: 2017-02-04 00:00:00~2017-02-10 23:59:59,"[0.56198347107438018, 1.4173310405919441, 2.8099466390710868]","[0.52892561983471076, 1.3339586264394769, 2.6446556603021993]"
X: 2016-12-07 00:00:00~2017-02-04 23:59:59 -> Y: 2017-02-05 00:00:00~2017-02-11 23:59:59,"[0.51666666666666672, 1.2922724193632431, 2.5833602556754038]","[0.52500000000000002, 1.31311552290136, 2.6250273565733937]"
X: 2016-12-08 00:00:00~2017-02-05 23:59:59 -> Y: 2017-02-06 00:00:00~2017-02-12 23:59:59,"[0.50413223140495866, 1.2714293158251264, 2.5206874262255337]","[0.52066115702479343, 1.3131839499739448, 2.6034685765227246]"
X: 2016-12-09 00:00:00~2017-02-06 23:59:59 -> Y: 2017-02-07 00:00:00~2017-02-13 23:59:59,"[0.52419354838709675, 1.3548017299775936, 2.6209950564864912]","[0.54032258064516125, 1.3970703226815411, 2.7027677395812484]"
X: 2016-12-10 00:00:00~2017-02-07 23:59:59 -> Y: 2017-02-08 00:00:00~2017-02-14 23:59:59,"[0.51260504201680668, 1.2714293158251264, 2.5630519207839457]","[0.53781512605042014, 1.3339586264394769, 2.6891036545929921]"
X: 2016-12-11 00:00:00~2017-02-08 23:59:59 -> Y: 2017-02-09 00:00:00~2017-02-15 23:59:59,"[0.5, 1.3339586264394769, 2.5000260538794228]","[0.5234375, 1.3964879370538272, 2.6172147751550203]"
X: 2016-12-12 00:00:00~2017-02-09 23:59:59 -> Y: 2017-02-10 00:00:00~2017-02-16 23:59:59,"[0.51538461538461533, 1.3964879370538272, 2.5769499324603276]","[0.53076923076923077, 1.4382490880667016, 2.654012105664008]"
X: 2016-12-13 00:00:00~2017-02-10 23:59:59 -> Y: 2017-02-11 00:00:00~2017-02-17 23:59:59,"[0.52941176470588236, 1.5007034547444116, 2.6470864099899769]","[0.54411764705882348, 1.5423896618206452, 2.720616588045254]"
X: 2016-12-14 00:00:00~2017-02-11 23:59:59 -> Y: 2017-02-12 00:00:00~2017-02-18 23:59:59,"[0.55970149253731338, 1.5632327653587619, 2.7985366274769654]","[0.53731343283582089, 1.5007034547444116, 2.6865951623778868]"
X: 2016-12-15 00:00:00~2017-02-12 23:59:59 -> Y: 2017-02-13 00:00:00~2017-02-19 23:59:59,"[0.52857142857142858, 1.5423896618206452, 2.6428846855296753]","[0.50714285714285712, 1.4798603512062947, 2.5357407117919855]"
X: 2016-12-16 00:00:00~2017-02-13 23:59:59 -> Y: 2017-02-14 00:00:00~2017-02-20 23:59:59,"[0.56060606060606055, 1.5423896618206452, 2.803059514955716]","[0.59848484848484851, 1.6466051795112293, 2.9924554281283999]"
X: 2016-12-17 00:00:00~2017-02-14 23:59:59 -> Y: 2017-02-15 00:00:00~2017-02-21 23:59:59,"[0.54482758620689653, 1.6466051795112293, 2.724166320778957]","[0.57241379310344831, 1.7299775936636965, 2.8620987927171324]"
X: 2016-12-18 00:00:00~2017-02-15 23:59:59 -> Y: 2017-02-16 00:00:00~2017-02-22 23:59:59,"[0.57999999999999996, 1.813350007816164, 2.90003022250013]","[0.57333333333333336, 1.792506904278047, 2.8666965417817383]"
X: 2016-12-19 00:00:00~2017-02-16 23:59:59 -> Y: 2017-02-17 00:00:00~2017-02-23 23:59:59,"[0.55944055944055948, 1.667448283049346, 2.7972319483965569]","[0.58041958041958042, 1.7299775936636965, 2.9021281464614277]"
X: 2016-12-20 00:00:00~2017-02-17 23:59:59 -> Y: 2017-02-18 00:00:00~2017-02-24 23:59:59,"[0.57664233576642332, 1.6466051795112293, 2.8832417263718888]","[0.56204379562043794, 1.6049189724349957, 2.8102482649447524]"
X: 2016-12-21 00:00:00~2017-02-18 23:59:59 -> Y: 2017-02-19 00:00:00~2017-02-25 23:59:59,"[0.57823129251700678, 1.7716638007399301, 2.8911865929217813]","[0.55102040816326525, 1.6882913865874629, 2.7551307532548734]"
X: 2016-12-22 00:00:00~2017-02-19 23:59:59 -> Y: 2017-02-20 00:00:00~2017-02-26 23:59:59,"[0.57246376811594202, 1.6466051795112293, 2.8623486703836867]","[0.55797101449275366, 1.6049189724349957, 2.7898841470828342]"
X: 2016-12-23 00:00:00~2017-02-20 23:59:59 -> Y: 2017-02-21 00:00:00~2017-02-27 23:59:59,"[0.53237410071942448, 1.5423896618206452, 2.6618982444183783]","[0.53237410071942448, 1.5423896618206452, 2.6618982444183783]"
X: 2016-12-24 00:00:00~2017-02-21 23:59:59 -> Y: 2017-02-22 00:00:00~2017-02-28 23:59:59,"[0.54263565891472865, 1.4590172476681778, 2.7132065701016987]","[0.54263565891472865, 1.4590172476681778, 2.7132065701016987]"
X: 2016-12-25 00:00:00~2017-02-22 23:59:59 -> Y: 2017-02-23 00:00:00~2017-03-01 23:59:59,"[0.53030303030303028, 1.4590172476681778, 2.6515427844175692]","[0.51515151515151514, 1.4173310405919441, 2.575784419148496]"
X: 2016-12-26 00:00:00~2017-02-23 23:59:59 -> Y: 2017-02-24 00:00:00~2017-03-02 23:59:59,"[0.55384615384615388, 1.5007034547444116, 2.7692596289125913]","[0.53846153846153844, 1.4591693157538175, 2.6926163627398707]"
X: 2016-12-27 00:00:00~2017-02-24 23:59:59 -> Y: 2017-02-25 00:00:00~2017-03-03 23:59:59,"[0.5461538461538461, 1.4798603512062947, 2.7307976896221384]","[0.55384615384615388, 1.5007034547444116, 2.7692596289125913]"
X: 2016-12-28 00:00:00~2017-02-25 23:59:59 -> Y: 2017-02-26 00:00:00~2017-03-04 23:59:59,"[0.50427350427350426, 1.2297431087488928, 2.5213937979296741]","[0.52991452991452992, 1.2922724193632431, 2.6496002622311829]"
X: 2016-12-29 00:00:00~2017-02-26 23:59:59 -> Y: 2017-02-27 00:00:00~2017-03-05 23:59:59,"[0.5304347826086957, 1.2714293158251264, 2.6522015528112139]","[0.53913043478260869, 1.2922724193632431, 2.695680266791725]"
X: 2016-12-30 00:00:00~2017-02-27 23:59:59 -> Y: 2017-02-28 00:00:00~2017-03-06 23:59:59,"[0.53781512605042014, 1.3339586264394769, 2.6891036545929921]","[0.52100840336134457, 1.2922724193632431, 2.6050691653869618]"
X: 2016-12-31 00:00:00~2017-02-28 23:59:59 -> Y: 2017-03-01 00:00:00~2017-03-07 23:59:59,"[0.56896551724137934, 1.3756448335157105, 2.8448572337248605]","[0.53448275862068961, 1.2922724193632431, 2.672441643802141]"
X: 2017-01-01 00:00:00~2017-03-01 23:59:59 -> Y: 2017-03-02 00:00:00~2017-03-08 23:59:59,"[0.55102040816326525, 1.1255275910583087, 2.7551307532548734]","[0.43877551020408162, 0.89625345213902352, 2.1939004146288812]"
X: 2017-01-02 00:00:00~2017-03-02 23:59:59 -> Y: 2017-03-03 00:00:00~2017-03-09 23:59:59,"[0.48999999999999999, 1.0213120733677246, 2.4500255328018343]","[0.44, 0.91709655567714032, 2.200022927413892]"
X: 2017-01-03 00:00:00~2017-03-03 23:59:59 -> Y: 2017-03-04 00:00:00~2017-03-10 23:59:59,"[0.47959183673469385, 0.97962586629149084, 2.3979841741292418]","[0.45918367346938777, 0.93808630393996251, 2.2963012597158938]"
X: 2017-01-04 00:00:00~2017-03-04 23:59:59 -> Y: 2017-03-05 00:00:00~2017-03-11 23:59:59,"[0.5, 1.1046844875201918, 2.5000260538794228]","[0.49056603773584906, 1.0838413839820749, 2.4528557509760374]"
X: 2017-01-05 00:00:00~2017-03-05 23:59:59 -> Y: 2017-03-06 00:00:00~2017-03-12 23:59:59,"[0.49541284403669728, 1.1255275910583087, 2.4770900350364924]","[0.50458715596330272, 1.1463706945964254, 2.5229620727223532]"
X: 2017-01-06 00:00:00~2017-03-06 23:59:59 -> Y: 2017-03-07 00:00:00~2017-03-13 23:59:59,"[0.49549549549549549, 1.1463706945964254, 2.4775032966372654]","[0.49549549549549549, 1.1463706945964254, 2.4775032966372654]"
X: 2017-01-07 00:00:00~2017-03-07 23:59:59 -> Y: 2017-03-08 00:00:00~2017-03-14 23:59:59,"[0.46078431372549017, 0.97962586629149084, 2.30394557906535]","[0.46078431372549017, 0.97972796914899163, 2.3041857109720745]"
X: 2017-01-08 00:00:00~2017-03-08 23:59:59 -> Y: 2017-03-09 00:00:00~2017-03-15 23:59:59,"[0.44554455445544555, 0.93793965921525713, 2.2277459886054261]","[0.49504950495049505, 1.0422094841063054, 2.4754023083392238]"
X: 2017-01-09 00:00:00~2017-03-09 23:59:59 -> Y: 2017-03-10 00:00:00~2017-03-16 23:59:59,"[0.51923076923076927, 1.1255275910583087, 2.5961809021055546]","[0.54807692307692313, 1.188056901672659, 2.7404131744447517]"
X: 2017-01-10 00:00:00~2017-03-10 23:59:59 -> Y: 2017-03-11 00:00:00~2017-03-17 23:59:59,"[0.51818181818181819, 1.188056901672659, 2.5909360922023108]","[0.51818181818181819, 1.188056901672659, 2.5909360922023108]"
X: 2017-01-11 00:00:00~2017-03-11 23:59:59 -> Y: 2017-03-12 00:00:00~2017-03-18 23:59:59,"[0.55238095238095242, 1.2089000052107759, 2.7619335452382194]","[0.56190476190476191, 1.2298712804210747, 2.8098459186686817]"
X: 2017-01-12 00:00:00~2017-03-12 23:59:59 -> Y: 2017-03-13 00:00:00~2017-03-19 23:59:59,"[0.56000000000000005, 1.1672137981345423, 2.8000291803449535]","[0.56999999999999995, 1.188056901672659, 2.8500297014225415]"
X: 2017-01-13 00:00:00~2017-03-13 23:59:59 -> Y: 2017-03-14 00:00:00~2017-03-20 23:59:59,"[0.55789473684210522, 1.1046844875201918, 2.7895027548549347]","[0.55789473684210522, 1.1046844875201918, 2.7895027548549347]"
X: 2017-01-14 00:00:00~2017-03-14 23:59:59 -> Y: 2017-03-15 00:00:00~2017-03-21 23:59:59,"[0.59813084112149528, 1.3339586264394769, 2.9906853728651033]","[0.58878504672897192, 1.3132523841784356, 2.9442627517809803]"
X: 2017-01-15 00:00:00~2017-03-15 23:59:59 -> Y: 2017-03-16 00:00:00~2017-03-22 23:59:59,"[0.5267857142857143, 1.2297431087488928, 2.6339560210515347]","[0.5089285714285714, 1.1881188118811883, 2.5448019801980197]"
X: 2017-01-16 00:00:00~2017-03-16 23:59:59 -> Y: 2017-03-17 00:00:00~2017-03-23 23:59:59,"[0.5641025641025641, 1.3756448335157105, 2.8205422146331949]","[0.54700854700854706, 1.3342367227810497, 2.7356414310080859]"
X: 2017-01-17 00:00:00~2017-03-17 23:59:59 -> Y: 2017-03-18 00:00:00~2017-03-24 23:59:59,"[0.55932203389830504, 1.3756448335157105, 2.7966393145091843]","[0.5423728813559322, 1.3339586264394769, 2.7118926686149667]"
X: 2017-01-18 00:00:00~2017-03-18 23:59:59 -> Y: 2017-03-19 00:00:00~2017-03-25 23:59:59,"[0.56779661016949157, 1.3964879370538272, 2.8390126374562938]","[0.52542372881355937, 1.2922724193632431, 2.6271460227207495]"
X: 2017-01-19 00:00:00~2017-03-19 23:59:59 -> Y: 2017-03-20 00:00:00~2017-03-26 23:59:59,"[0.55284552845528456, 1.4173310405919441, 2.7642564498178981]","[0.49593495934959347, 1.2714293158251264, 2.4797006388072322]"
X: 2017-01-20 00:00:00~2017-03-20 23:59:59 -> Y: 2017-03-21 00:00:00~2017-03-27 23:59:59,"[0.50793650793650791, 1.3339586264394769, 2.5397090071156039]","[0.53174603174603174, 1.3964879370538272, 2.6587578668241481]"
X: 2017-01-21 00:00:00~2017-03-21 23:59:59 -> Y: 2017-03-22 00:00:00~2017-03-28 23:59:59,"[0.46825396825396826, 1.2297431087488928, 2.3412942409346975]","[0.47619047619047616, 1.2505862122870095, 2.3809771941708786]"
X: 2017-01-22 00:00:00~2017-03-22 23:59:59 -> Y: 2017-03-23 00:00:00~2017-03-29 23:59:59,"[0.50375939849624063, 1.3964879370538272, 2.5188232422544559]","[0.50375939849624063, 1.3964879370538272, 2.5188232422544559]"
X: 2017-01-23 00:00:00~2017-03-23 23:59:59 -> Y: 2017-03-24 00:00:00~2017-03-30 23:59:59,"[0.43089430894308944, 1.1046844875201918, 2.1544939976521853]","[0.44715447154471544, 1.1463706945964254, 2.235795657940947]"
X: 2017-01-24 00:00:00~2017-03-24 23:59:59 -> Y: 2017-03-25 00:00:00~2017-03-31 23:59:59,"[0.44915254237288138, 1.1046844875201918, 2.2457861161967694]","[0.44067796610169491, 1.0838978634705576, 2.2035276141351869]"
X: 2017-01-25 00:00:00~2017-03-25 23:59:59 -> Y: 2017-03-26 00:00:00~2017-04-01 23:59:59,"[0.47286821705426357, 1.2714293158251264, 2.3643657253743378]","[0.47286821705426357, 1.2714293158251264, 2.3643657253743378]"
X: 2017-01-26 00:00:00~2017-03-26 23:59:59 -> Y: 2017-03-27 00:00:00~2017-04-02 23:59:59,"[0.48091603053435117, 1.31311552290136, 2.4046052121282999]","[0.47328244274809161, 1.2922724193632431, 2.3664368754278504]"
X: 2017-01-27 00:00:00~2017-03-27 23:59:59 -> Y: 2017-03-28 00:00:00~2017-04-03 23:59:59,"[0.52482269503546097, 1.5423896618206452, 2.6241408225117344]","[0.51773049645390068, 1.522498566140049, 2.5902991562506124]"
X: 2017-01-28 00:00:00~2017-03-28 23:59:59 -> Y: 2017-03-29 00:00:00~2017-04-04 23:59:59,"[0.5, 1.3964879370538272, 2.5000260538794228]","[0.48507462686567165, 1.3548723293381972, 2.425524799141344]"
X: 2017-01-29 00:00:00~2017-03-29 23:59:59 -> Y: 2017-03-30 00:00:00~2017-04-05 23:59:59,"[0.5220588235294118, 1.4798603512062947, 2.6103213209623384]","[0.5220588235294118, 1.4798603512062947, 2.6103213209623384]"
X: 2017-01-30 00:00:00~2017-03-30 23:59:59 -> Y: 2017-03-31 00:00:00~2017-04-06 23:59:59,"[0.54545454545454541, 1.5007034547444116, 2.7273011496866428]","[0.54545454545454541, 1.5007034547444116, 2.7273011496866428]"
X: 2017-01-31 00:00:00~2017-03-31 23:59:59 -> Y: 2017-04-01 00:00:00~2017-04-07 23:59:59,"[0.52517985611510787, 1.5215465582825283, 2.6259266465208322]","[0.52517985611510787, 1.5215465582825283, 2.6259266465208322]"
X: 2017-02-01 00:00:00~2017-04-01 23:59:59 -> Y: 2017-04-02 00:00:00~2017-04-08 23:59:59,"[0.53030303030303028, 1.4590172476681778, 2.6515427844175692]","[0.51515151515151514, 1.4174048983845755, 2.5759186444960287]"
X: 2017-02-02 00:00:00~2017-04-02 23:59:59 -> Y: 2017-04-03 00:00:00~2017-04-09 23:59:59,"[0.51145038167938928, 1.3964879370538272, 2.5572785589300961]","[0.5419847328244275, 1.4798603512062947, 2.7099519057318933]"
X: 2017-02-03 00:00:00~2017-04-03 23:59:59 -> Y: 2017-04-04 00:00:00~2017-04-10 23:59:59,"[0.48031496062992124, 1.2714293158251264, 2.4015998312857443]","[0.54330708661417326, 1.4381741441300611, 2.7165637435855143]"
X: 2017-02-04 00:00:00~2017-04-04 23:59:59 -> Y: 2017-04-05 00:00:00~2017-04-11 23:59:59,"[0.53900709219858156, 1.5840758688968788, 2.6950635474444837]","[0.57446808510638303, 1.6882913865874629, 2.8723703597763581]"
X: 2017-02-05 00:00:00~2017-04-05 23:59:59 -> Y: 2017-04-06 00:00:00~2017-04-12 23:59:59,"[0.5467625899280576, 1.5840758688968788, 2.7338414402134696]","[0.56834532374100721, 1.6466051795112293, 2.8417562339061062]"
X: 2017-02-06 00:00:00~2017-04-06 23:59:59 -> Y: 2017-04-07 00:00:00~2017-04-13 23:59:59,"[0.51388888888888884, 1.5423896618206452, 2.5694712220427398]","[0.53472222222222221, 1.6050026055237105, 2.6737782988825201]"
X: 2017-02-07 00:00:00~2017-04-07 23:59:59 -> Y: 2017-04-08 00:00:00~2017-04-14 23:59:59,"[0.5467625899280576, 1.5840758688968788, 2.7338414402134696]","[0.53956834532374098, 1.5632327653587619, 2.6978698423159235]"
X: 2017-02-08 00:00:00~2017-04-08 23:59:59 -> Y: 2017-04-09 00:00:00~2017-04-15 23:59:59,"[0.5436241610738255, 1.6882913865874629, 2.7181491324058151]","[0.52348993288590606, 1.6267792898482716, 2.6191146566557171]"
X: 2017-02-09 00:00:00~2017-04-09 23:59:59 -> Y: 2017-04-10 00:00:00~2017-04-16 23:59:59,"[0.57718120805369133, 1.792506904278047, 2.885936115887656]","[0.56375838926174493, 1.7592544112257189, 2.8323996020734068]"
