,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 3.0, 2.0, 0.0, 0.0, 1.0, 0.0, 3.0, 1.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0, 4.0, 2.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 3.0, 2.547937396848881, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 5.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.45206260315111896, 5.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[0.0, 1.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 3.0, 2.0, 1.0, 0.0, 1.0, 0.0, 3.0, 2.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0, 1.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 3.0, 2.547937396848881, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 5.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.45206260315111896, 1.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[0.0, 1.0, 2.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 3.0, 2.0, 1.0, 0.0, 1.0, 0.0, 3.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 3.0, 2.547937396848881, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.45206260315111896, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[0.0, 0.0, 2.0, 1.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.6566565986804881, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.34334340131951185, 0.0]","[0.0, 0.0, 3.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.547937396848881, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.452062603151119, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[1.0, 0.0, 3.0, 1.0, 0.0, 4.856306588441737, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.6566565986804882, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.1436934115582627, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34334340131951185, 1.0]","[1.0, 0.0, 4.0, 0.0, 0.0, 3.856306588441737, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 3.0, 0.0, 1.0, 1.547937396848881, 0.0, 0.0, 0.0, 1.0, 1.0, 1.1436934115582627, 4.0, 0.0, 0.0, 0.4379220546395373, 1.0, 0.0, 0.0, 3.0, 0.0, 2.0, 1.452062603151119, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5620779453604627, 1.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[1.0, 0.0, 3.0, 0.0, 0.0, 2.856306588441737, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.6566565986804882, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.1436934115582627, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.34334340131951185, 1.0]","[1.0, 0.0, 4.0, 0.0, 0.0, 2.856306588441737, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 3.0, 0.0, 1.0, 1.547937396848881, 0.0, 0.0, 0.0, 1.0, 1.0, 1.1436934115582627, 4.0, 0.0, 0.0, 0.4379220546395373, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 1.452062603151119, 2.0, 1.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.5620779453604627, 1.0, 4.0, 0.0, 3.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[1.0, 0.0, 3.0, 0.0, 0.0, 3.856306588441737, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.6566565986804882, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.1436934115582627, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.34334340131951185, 1.0]","[1.0, 0.0, 5.0, 0.0, 0.0, 4.856306588441737, 1.0, 1.0, 0.0, 1.0, 1.0, 2.232905124386462, 0.0, 2.0, 2.0, 0.0, 2.766088589325181, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.1436934115582627, 4.0, 0.0, 0.0, 0.4379220546395373, 1.0, 0.0, 0.0, 3.0, 0.0, 2.0, 1.0, 5.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.5620779453604627, 0.0, 5.0, 0.0, 3.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[1.0, 0.0, 1.0, 0.0, 0.0, 2.856306588441737, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 3.3882847187206986, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.1436934115582627, 2.0, 0.1932389995926011, 0.0, 0.2683718799597897, 2.0, 1.0, 0.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 0.8067610004073987, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4.0, 0.0, 3.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.34334340131951185, 1.0]","[1.0, 0.0, 3.0, 0.0, 0.0, 4.856306588441737, 1.0, 1.0, 0.0, 1.0, 2.0, 1.2329051243864622, 0.0, 4.388284718720699, 2.0, 0.0, 3.766088589325181, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.1436934115582627, 3.0, 0.0, 0.0, 0.7062939345993271, 2.0, 0.0, 0.0, 3.0, 0.0, 3.0, 1.0, 9.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.5620779453604627, 0.0, 5.0, 0.0, 3.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.34334340131951185, 0.0]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[1.0, 0.0, 0.0, 0.0, 0.0, 2.6426699549945494, 1.0, 1.0, 0.0, 0.0, 3.0, 1.0, 0.0, 3.3882847187206986, 2.0, 0.0, 3.778293492275237, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.35733004500545046, 2.0, 0.1932389995926011, 0.22170650772476305, 0.2683718799597897, 4.0, 1.0, 0.0, 2.0, 1.0, 3.0, 1.0, 5.0, 1.0, 1.0, 0.8067610004073987, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4.0, 1.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.3433434013195118, 0.0]","[1.0, 0.0, 2.0, 0.0, 0.0, 3.6426699549945494, 1.0, 1.0, 0.0, 0.0, 3.0, 1.2329051243864622, 0.0, 3.3882847187206986, 2.0, 0.0, 5.544382081600418, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.35733004500545046, 3.0, 0.0, 0.22170650772476305, 0.7062939345993271, 4.0, 0.0, 0.0, 3.0, 0.0, 3.0, 1.0, 9.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.5620779453604627, 0.0, 5.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 1.3433434013195118, 0.0]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[3.0, 0.0, 0.0, 0.0, 0.0, 2.6426699549945494, 1.0, 1.0, 0.0, 1.0, 3.489786125417587, 2.0, 0.0, 1.3882847187206986, 1.0, 0.0, 3.778293492275237, 1.0306870519524605, 0.0, 0.0, 1.0, 1.0, 0.0, 0.35733004500545046, 3.0, 0.1932389995926011, 0.22170650772476305, 0.7062939345993271, 4.0, 1.0, 0.0, 2.0, 2.0, 3.0, 2.0, 5.0, 0.0, 1.0, 0.8067610004073987, 1.0, 0.4795268226299522, 0.0, 1.0, 0.5620779453604627, 1.0, 4.0, 1.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.3433434013195118, 0.0]","[2.0, 0.0, 1.0, 0.0, 0.0, 3.6426699549945494, 0.0, 1.0, 0.0, 0.0, 3.489786125417587, 2.232905124386462, 0.0, 2.3882847187206986, 1.0, 0.0, 5.544382081600418, 2.0306870519524605, 0.0, 0.0, 1.0, 1.0, 0.0, 0.35733004500545046, 3.0, 0.0, 0.22170650772476305, 0.7062939345993271, 4.0, 0.0, 0.0, 3.0, 0.0, 3.0, 2.0, 9.0, 0.0, 1.0, 0.0, 1.0, 1.4795268226299523, 0.0, 1.0, 0.5620779453604627, 0.0, 4.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 1.3433434013195118, 0.0]"
