period,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[1023.58922490918, 476.30514503055184, 847.0995484651173, 1107.0, 144.43818875827102, 1231.2367781195146, 561.9713587179692, 191.33534722477845, 728.9515189866584, 699.2485409658159, 380.69697937736476, 81.05597275000157, 760.5453019451442, 434.42863811173464, 3.0319321271957818, 230.1655797088075, 699.2154802073378, 546.6920062998082, 658.3921493925851, 387.7330930840488, 622.911597546887, 124.2524435919287, 957.5927535238445, 362.61568678435907, 730.279790445386, 258.0432908961299, 506.90328144196786, 565.6493302678624, 994.7753661273147, 281.50163094147376, 294.68361271121904, 770.0672046635939, 493.13787692598834, 658.4575702101781, 574.7312489038795, 328.0533068921945, 56.618470178293755, 517.9304137329007, 492.48993079521574, 630.221638365765, 428.4172204255344, 290.2798939687833, 695.4388662140477, 131.69558433985955, 531.5690411274063, 526.1262602265055, 1137.187480807604, 409.65481729862574, 728.4475903406129, 653.0286412820308, 787.782935159147, 233.12814151559013, 514.6230253581202, 661.1322568088403, 642.7220662433965]","[973.7663387770045, 255.0, 922.8684228000023, 1112.0, 151.59040136371934, 1548.7060504154028, 713.4161392742441, 206.0842610618538, 676.0232862381997, 661.6779008281399, 236.13266005731236, 38.44124981697336, 858.5875949124755, 532.2720591520408, 4.355614405776602, 257.52196307032256, 874.3598445875415, 537.8714779556846, 655.5530992565892, 565.540069451659, 649.210322925405, 95.20848789046349, 1154.1999149526778, 391.12938203186815, 783.4932204084337, 261.85988151657904, 556.482398842493, 628.2028269447869, 887.3365549954387, 414.84176674603714, 313.75071735405663, 1105.9858038231189, 586.478487950974, 729.7772271110805, 691.8631287785023, 439.6599499662394, 271.4025922496554, 637.6255338063598, 521.580338569288, 745.6916940570786, 562.6685633992548, 287.77118081208863, 781.2038501511672, 147.8564424167898, 486.78429612148386, 579.5240797807226, 1158.4315093499877, 466.85615186362236, 732.20574998043, 548.583860725756, 788.2800404981447, 305.0449312892803, 552.84968440606, 716.7076440912585, 688.5400482275384]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[1011.2935276597563, 477.30514503055184, 840.8051683691214, 1135.0, 130.95057205519765, 1294.4565883584746, 564.8771105535723, 201.33534722477845, 704.3844808330344, 688.8875913331318, 355.8556772993876, 81.05597275000157, 666.1105442219981, 407.60069111257786, 3.0319321271957818, 230.1655797088075, 695.4421690690526, 674.5526529446873, 673.3921493925851, 400.84856531030334, 550.3856483749482, 117.2524435919287, 895.796388726149, 358.61568678435907, 711.0524337466293, 257.9837564107324, 526.9032814419679, 561.3525984171666, 966.902631136682, 284.50163094147376, 294.68361271121904, 731.8220055992392, 489.24052625872156, 676.2132297172406, 557.8313810288032, 327.5157682093892, 57.040536634844464, 520.9684473078418, 493.48993079521574, 597.377518078642, 434.4172204255344, 284.04919518699523, 680.04357698088, 125.82026318971202, 487.90098497653196, 498.57823704920486, 1132.1963692863822, 411.65481729862574, 723.0269882722142, 630.1228894464277, 764.7753909813465, 235.1412546412767, 552.1431926586038, 690.7040592000849, 643.3363569327173]","[986.7717945453089, 261.0, 945.4474582967258, 1108.0, 154.67758495730467, 1535.7060504154026, 707.1900799984467, 212.0842610618538, 694.4442507414763, 663.6779008281399, 263.29361007774764, 38.44124981697336, 858.0592131763162, 535.2720591520408, 4.240040842619588, 249.92374312828073, 840.3598445875416, 605.0114028397724, 660.6905433913709, 566.4908259626802, 634.210322925405, 95.20848789046349, 1124.084857643952, 395.12938203186815, 792.4932204084338, 262.85988151657904, 557.482398842493, 607.0899951205184, 890.3365549954387, 412.48362805041575, 313.75071735405663, 1081.7589654392448, 589.136620739566, 748.7717713427761, 694.7588290936853, 393.52250583145775, 276.4761151519856, 640.9143678318602, 522.4931549757026, 744.5814837193092, 540.2052251738891, 287.77118081208863, 782.2038501511672, 148.1284221997689, 487.3182883315793, 577.6562732441851, 1155.6621402218705, 469.5318783573004, 731.0466020217194, 547.8099200015535, 790.2800404981447, 281.641795774359, 563.339586879549, 717.2018234464178, 688.5400482275384]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[1009.1620104505957, 352.43666223971235, 826.5092099196838, 1121.0, 125.91885642242922, 1259.4565883584748, 548.1917507966875, 193.39586946382292, 665.5764816169017, 675.0178159955286, 346.7881636829791, 70.34645525735024, 837.4731771053849, 399.74161052956794, 2.1434915181891676, 210.6784123010575, 827.0230741304806, 669.4470810679957, 676.204030133373, 377.2101095278096, 515.5022110617585, 138.6508716214052, 847.2207123319521, 350.78117771743547, 830.8869428135529, 255.73295596017306, 452.5058957475909, 551.2116790001767, 942.902631136682, 272.50163094147376, 290.93319578414247, 874.2813120423351, 486.63056695735463, 750.2132297172403, 457.6876136281345, 307.321366653906, 52.618470178293755, 620.0978303584781, 487.64306382790704, 570.007951830945, 415.2211351755957, 275.04919518699523, 663.0435769808798, 125.82026318971202, 473.90098497653196, 487.57870520070475, 1124.7209123774478, 407.65481729862574, 718.0506210740878, 590.8082492033125, 780.1101678899244, 218.6155327927917, 549.5121873288446, 683.6829383827495, 647.3363569327173]","[985.519519189569, 265.0, 910.5401166169307, 1115.0, 150.46965229938772, 1512.6587790870244, 710.1900799984467, 220.0842610618538, 694.6388975673309, 662.6779008281396, 270.23509328731967, 39.03041814288652, 977.4761321334869, 527.2720591520408, 0.879983215733398, 250.92374312828073, 876.9144115973044, 618.4769710571588, 659.6905433913709, 569.7847629980821, 597.2103229254051, 106.34354940435115, 1090.1365363337316, 348.1150353445262, 836.4932204084339, 262.85988151657904, 546.084141431621, 612.359019259092, 881.1108678650996, 376.11196303745373, 314.3705973411266, 1150.9533918085153, 590.1366207395658, 713.771771342776, 696.6798401295794, 401.02572730517426, 278.5538431295458, 665.9756219951112, 513.7010876336195, 747.5814837193092, 521.2754201219085, 287.77118081208863, 785.2077590710062, 148.83689762335948, 491.6371541812585, 578.6562732441851, 1156.6582313020317, 470.69916900042574, 733.0466020217194, 497.80992000155345, 806.2800404981448, 285.66428291943043, 564.3395868795488, 718.2018234464178, 685.5400482275384]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[976.7094886799644, 475.8511114464246, 859.4494463852466, 1116.0, 120.43296457245472, 1223.3321194326609, 587.050354669092, 83.24757308817672, 663.0904299310528, 674.0178159955286, 297.7881636829791, 70.34645525735024, 835.1973156450414, 382.74161052956794, 1.1799633687256963, 209.6784123010575, 838.0364456813954, 659.4470810679957, 642.8403082429074, 454.18387167447344, 559.1942909219199, 137.65087162140517, 765.4247479931831, 361.1292156288984, 900.5389049020899, 252.59787802973227, 571.4755107596957, 554.8610249283356, 932.5729152827821, 254.5016309414738, 289.93319578414247, 832.6450339328004, 469.9800249315298, 732.6928031077335, 439.70069461760954, 302.70823495822185, 93.65272845277967, 635.4395636810297, 468.12895567788155, 570.007951830945, 397.20805418612065, 274.04919518699523, 657.7359146493613, 135.820263189712, 462.6943295844212, 495.8849516489435, 1119.1206883500415, 375.4082249488064, 725.9217017554355, 598.949645330908, 777.1101678899244, 217.6155327927917, 549.5121873288446, 685.6829383827495, 660.9743322043607]","[978.519519189569, 298.0, 936.9666003744406, 1133.0, 150.46965229938772, 1513.52575027689, 670.2624877600466, 220.0842610618538, 685.5473925564888, 662.6779008281396, 270.23509328731967, 39.03041814288652, 998.9973297645607, 526.4727298581869, 0.879983215733398, 250.92374312828073, 892.4453958970371, 618.4769710571588, 659.6905433913709, 576.5792395392148, 632.2465245012346, 106.34354940435115, 1097.4024579442632, 352.394810603319, 868.4417399152884, 262.85988151657904, 606.1439702711255, 642.1547136088564, 881.0921095765561, 364.1119630374538, 314.3705973411266, 1074.5622580524175, 556.8919884156702, 710.6807280177885, 685.5644915165676, 399.7543250457971, 215.95591814301457, 664.0671270059534, 513.7010876336195, 741.0828278131767, 517.3907687349204, 243.95609620388458, 769.4571830896712, 170.0412032735951, 491.6371541812585, 584.9650364358374, 1157.8251238159376, 470.51566060461744, 753.1376453467069, 478.7375122399535, 805.2800404981448, 285.66428291943043, 559.030734115082, 721.8915842656293, 687.5400482275384]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[1052.0144197134437, 462.8511114464246, 849.8349966729971, 1117.0, 172.91541059729053, 1224.1996861932862, 575.050354669092, 243.14661938720897, 653.5967094926884, 645.6322657077782, 249.23180320577853, 70.34645525735024, 804.2477925220111, 454.7347626470565, 1.077562411911694, 232.98244360426787, 825.9949980534793, 753.0034415451961, 649.975884884131, 423.89597007170244, 496.6157589978158, 137.65087162140517, 1009.5181197009439, 365.61875495215634, 1084.8884308780307, 249.59787802973227, 512.4755107596958, 536.0453777223202, 939.8662832229584, 246.5016309414738, 287.93319578414247, 821.509457291577, 450.68413413653747, 719.9674304410987, 397.70069461760954, 291.09709026196066, 85.65272845277966, 513.0744385268002, 466.27314426348073, 556.586483755049, 387.20805418612065, 249.92438209679358, 767.8633812339556, 134.820263189712, 504.55317517701485, 487.8849516489435, 1081.8474651660256, 362.70411574379875, 718.3778603915592, 677.949645330908, 760.1101678899244, 258.676386767009, 550.7538878980107, 699.6829383827495, 647.9743322043607]","[993.4752552067017, 256.0, 869.5407922723957, 1141.0, 166.5881817118919, 1525.7057150355793, 663.2624877600466, 314.3266471925719, 677.9022037521777, 662.6779008281396, 275.2350932873197, 1.2952379521151223, 964.4722623684772, 535.2720591520408, 0.879983215733398, 255.0489626713056, 893.7393262708351, 674.4769710571587, 660.6905433913709, 578.5792395392148, 636.2465245012347, 107.34354940435115, 1207.4024579442635, 358.050087271885, 976.4167041418308, 262.85988151657904, 600.5852200880988, 642.1547136088564, 880.4647805098616, 349.2891709110645, 313.75071735405663, 1008.6904129805303, 556.1378317590256, 697.2079041066029, 687.5644915165676, 400.51193891507904, 215.77579844099014, 643.3321957973346, 514.7010876336195, 729.9546728850639, 519.3907687349204, 245.10125256929976, 773.7219932210611, 171.04120327359507, 516.6371541812586, 556.490103831921, 1137.3422117099904, 470.51566060461744, 748.1376453467069, 469.73751223995356, 806.2800404981448, 300.59736644788893, 558.8214383244232, 726.8915842656293, 686.5400482275384]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[1044.1778619908348, 511.1173339654428, 851.3507892810555, 1075.0, 172.91541059729053, 1184.2100153578222, 575.050354669092, 233.91161746792207, 610.5967094926883, 607.7502138382162, 257.0438886157427, 58.35836038686105, 782.1655694461945, 453.9911020423865, 1.077562411911694, 233.98244360426787, 807.4892261037978, 738.1913561352319, 645.8493762112724, 452.72881572756864, 485.64418472318215, 133.65087162140517, 1010.0207399874535, 315.0174862493254, 1251.3929447372755, 251.59787802973227, 498.9929908534332, 534.0070813312188, 785.8327043815442, 222.64602510466625, 288.93319578414247, 941.0689322743431, 445.80509237221924, 708.993933520213, 400.1322782165397, 352.4992465253814, 82.62833881005109, 640.9194934316524, 467.27314426348073, 575.4304221573645, 385.20805418612065, 248.2202699735439, 771.2425591231237, 137.820263189712, 452.100924725505, 429.8911923351664, 1067.281508832941, 454.70411574379875, 720.1289789355026, 669.949645330908, 758.0310415999204, 260.025771432731, 546.813167322994, 701.6829383827495, 647.7521843880919]","[1066.4051367342563, 332.07011847244553, 872.2078332952628, 1143.0, 166.5881817118919, 1472.7057150355793, 664.2624877600466, 318.3266471925719, 680.2351627293104, 657.07102764143, 278.2350932873197, 1.2952379521151223, 964.4722623684772, 533.2720591520408, 0.879983215733398, 255.0489626713056, 873.7393262708351, 675.2598079740366, 660.6905433913709, 589.2127962615682, 638.2465245012346, 109.34354940435115, 1209.4024579442635, 358.050087271885, 1053.416704141831, 262.85988151657904, 601.5852200880988, 642.1547136088564, 883.4647805098616, 349.2891709110645, 310.35759054076635, 1037.9546181995383, 527.4001692514296, 697.2989474315904, 647.4505165309988, 423.8783821927256, 219.77579844099014, 726.3321957973346, 514.7010876336195, 740.6904676660558, 519.7219068036113, 246.1053951305743, 776.616224969021, 172.04120327359507, 517.6371541812586, 558.490103831921, 1141.443837400756, 456.2533231122133, 752.0466020217194, 471.73751223995356, 810.2800404981448, 300.59736644788893, 559.8214383244232, 725.8915842656293, 679.5400482275384]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[1149.9633800865365, 527.406561376853, 897.6288294793025, 1066.0, 164.0595991828897, 1204.7943017525026, 569.050354669092, 231.22178614228264, 572.4208490496197, 594.2583779291758, 260.3143313802629, 68.07929971273673, 784.8680447780089, 500.4735629723906, 101.74156563249392, 232.8746608196701, 797.1262657218069, 784.3889781146694, 638.1042904714302, 409.2984540590786, 489.81998218168036, 74.07822329624683, 1014.8156210428473, 312.18297718240177, 1219.8404460507945, 247.59787802973221, 499.77663569765093, 596.552068339939, 793.3491144748521, 231.64602510466628, 284.56437440721055, 870.0439624803773, 408.9121118063155, 698.3089912328978, 290.44010991983924, 323.3665143430869, 84.62833881005109, 762.0953538747211, 467.69526494897303, 563.4304221573644, 368.20805418612065, 248.72324900172856, 771.8573157885431, 139.82026318971205, 459.100924725505, 431.8911923351664, 1063.161008374944, 420.59510722596866, 692.6768464159029, 688.949645330908, 752.7181065589872, 260.98276880844827, 601.3760363290268, 696.3026109802938, 647.5659534075536]","[1137.6813205793094, 337.41072940234415, 940.7866356157513, 1141.0, 166.5881817118919, 1457.7057150355793, 671.7742305724514, 246.08426106185385, 677.9022037521777, 657.07102764143, 275.2350932873197, 1.2952379521151223, 916.1776961831454, 535.2720591520408, 43.26318844078209, 255.0489626713056, 870.7393262708351, 673.0584573585523, 658.6905433913709, 587.2127962615682, 635.4517277807208, 107.34354940435115, 1207.4024579442635, 357.050087271885, 1051.416704141831, 262.85988151657904, 589.2580006265812, 665.1547136088564, 880.4647805098616, 356.2891709110645, 310.35759054076635, 1027.06429097823, 529.1543259080743, 697.2079041066029, 642.7816545996898, 423.1207683234437, 216.77579844099014, 742.3321957973346, 514.7010876336195, 738.4511281375578, 506.008701717768, 246.1053951305743, 780.6307352972287, 171.04120327359507, 516.6371541812586, 555.490103831921, 1140.443837400756, 456.2533231122133, 748.1376453467069, 482.2257694275488, 805.2800404981448, 300.59736644788893, 575.924486375095, 698.9262386343538, 679.5400482275384]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[1195.5449351579343, 509.40656137685306, 854.6564566355894, 1065.0, 207.2286206022572, 1313.9278148417961, 550.050354669092, 271.42922303264277, 675.1498393240944, 579.0458724229557, 248.94835210670132, 26.959497832396618, 758.7462607081999, 489.5793827908484, 97.72337927854679, 231.67040021373043, 763.1622138689614, 720.2353972067323, 608.2510894265612, 383.4382253395838, 476.8884027081371, 70.07822329624683, 942.1641658677362, 302.0174862493253, 1267.5455907395865, 247.59787802973221, 389.03630238033435, 559.6299454523866, 744.7660409476084, 278.38126493906316, 281.0206470054388, 1022.0699061668746, 446.3525753586264, 674.616546289885, 426.63170948449266, 290.59761362697793, 77.62833881005109, 759.7859120701788, 464.7305041355452, 566.6031168984607, 334.53181403718673, 248.2202699735439, 769.1911026470548, 132.82026318971197, 445.58754029445157, 684.3304667095814, 1057.1130652500633, 415.5951072259686, 690.0286803105255, 579.949645330908, 734.638258064041, 257.79793191342895, 596.7397503821646, 677.160268022759, 630.3156116312114]","[1193.2084966681234, 336.41072940234415, 936.9338015999873, 1144.0, 201.58818171189188, 1501.7553513845357, 663.7742305724514, 267.3750387946245, 716.4595580756296, 655.07102764143, 265.10036377165875, 1.2952379521151223, 893.8402696545492, 530.3602011619517, 43.26318844078209, 255.0489626713056, 868.4882468386724, 650.3800065730442, 657.6905433913709, 582.2127962615682, 589.4517277807207, 106.34354940435115, 1200.4024579442635, 356.050087271885, 1122.416704141831, 262.85988151657904, 578.4196515203448, 583.6080178588569, 873.4647805098616, 384.97008473020946, 310.35759054076635, 1072.8173294639264, 539.4001692514297, 708.771771342776, 655.2564502909556, 407.12076832344366, 212.80410688907443, 743.6510616470138, 514.7010876336195, 736.6980896518612, 487.21140218826065, 241.373255042849, 776.5793635177722, 156.85644241678986, 511.3182883315793, 623.0526430383266, 1128.011352631922, 453.2533231122133, 747.9059132546291, 479.2257694275488, 802.2800404981448, 298.59736644788893, 574.924486375095, 692.9262386343538, 679.5400482275384]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[1197.438367270194, 525.5569331706051, 834.2766430089387, 1053.0, 206.3728091878564, 1228.808374349864, 544.2629087416934, 272.2125016224777, 661.7073890937068, 574.3273224911912, 205.98656886039208, 27.464607702249662, 741.1261364679756, 476.57938279084834, 101.56160226376822, 231.77818299832816, 809.8177593003566, 692.7658168653674, 598.2510894265612, 391.4382253395838, 439.1304898227326, 67.07822329624683, 902.9758489081121, 299.3740894309849, 1285.2719988040762, 248.59787802973221, 417.2043002940651, 538.4245603413647, 731.4763971980199, 284.5979863492283, 282.0206470054388, 997.2390641106905, 446.21946214280075, 732.3870370412207, 395.63170948449266, 291.59761362697793, 79.62833881005109, 783.7859120701788, 465.586315549946, 674.4521615541865, 390.2533664992184, 236.56715607608936, 760.6732980368439, 130.84129550674922, 436.58754029445157, 813.3317488604687, 1056.0709534992752, 421.59510722596866, 684.1632662682689, 564.7370912583066, 721.638258064041, 260.8743367877149, 580.0603487200879, 662.2109025415467, 629.3156116312114]","[1195.2084966681236, 336.41072940234415, 940.5902353880067, 1108.0, 203.58818171189185, 1515.5257502768902, 667.7742305724514, 270.3750387946245, 722.2785687386114, 657.07102764143, 271.23509328731967, 1.2952379521151223, 869.3369654031532, 531.3602011619517, 43.26318844078209, 254.98244360426787, 875.6605017129034, 656.2452770573832, 654.6905433913709, 585.2127962615682, 562.7827771578857, 106.34354940435115, 1205.4024579442635, 357.050087271885, 1086.4167041418307, 263.85988151657904, 582.4196515203448, 587.6080178588569, 881.4647805098616, 352.9983931782937, 310.35759054076635, 1009.9030628066984, 543.1543259080744, 741.7717713427761, 617.1707169481838, 410.12076832344366, 215.77579844099014, 714.1036297821479, 515.7010876336196, 744.6980896518612, 477.21140218826065, 243.31774070211807, 778.6348778585032, 156.85644241678986, 451.86572019644524, 669.0526430383266, 1137.011352631922, 452.2533231122133, 748.9059132546291, 481.2257694275488, 802.2800404981448, 296.66428291943043, 574.924486375095, 692.9262386343538, 679.5400482275384]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[1210.628964433665, 481.406561376853, 822.8749611911409, 1058.0, 200.22862060225722, 1205.992943505709, 532.2629087416934, 269.42922303264277, 617.2547188391216, 560.0775731289361, 184.6604114887447, 19.669015325047948, 706.197462224482, 471.04573133733015, 102.4600855116853, 229.67040021373043, 757.9959533571094, 625.7597473655629, 604.1229867108519, 375.4382253395838, 424.1304898227326, 40.692034357357635, 865.2238197858215, 319.5041332210308, 1180.5455907395867, 244.59787802973221, 387.1811812676333, 533.8578106247586, 765.8591248390163, 372.38126493906316, 289.0450912535103, 889.8207675291573, 443.26785797471075, 680.3870370412207, 369.4652912286464, 282.7920151824611, 76.62833881005109, 761.957199375148, 492.60898682404337, 671.4521615541865, 360.36099990992165, 263.12647109192125, 827.973060423456, 129.59239801733986, 391.9461684211703, 808.0281497643518, 1093.5274073339235, 417.5951072259686, 683.1632662682689, 719.7370912583066, 700.1512263608987, 247.79793191342884, 598.9163295602906, 705.6958455539133, 619.1798831877231]","[1197.199075293013, 334.41072940234415, 933.9338015999873, 1114.0, 199.58818171189185, 1496.7553513845357, 610.7742305724513, 262.3750387946246, 701.0178669646998, 654.07102764143, 240.8840328069386, 1.2952379521151223, 897.5596518149615, 531.3088903151628, 46.272609815892636, 253.98244360426787, 869.4882468386724, 602.4961702175261, 653.6905433913709, 581.2127962615682, 553.7615540888256, 106.34354940435115, 1198.3520390417875, 363.1664538354238, 1068.416704141831, 262.3138326646439, 587.3904430518272, 580.6305182966928, 905.3484139463227, 377.9700847302094, 311.57364298835824, 992.8851817159781, 539.4001692514297, 738.7717713427761, 614.1707169481838, 404.12076832344366, 205.80410688907443, 698.6533106526982, 524.6342602528417, 715.7159707425816, 470.31156950849885, 265.9400747187763, 821.7194705793744, 155.85644241678986, 441.3317279863498, 663.0526430383266, 1149.5473604706647, 452.2533231122133, 756.9051831579945, 608.2257694275488, 798.2800404981448, 294.641795774359, 589.0117391686995, 713.7606860237287, 677.5400482275384]"
