,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[208.7333098187144, 72.44725775523045, 76.56275152551407, 674.0, 69.74471081652098, 114.02162609093567, 247.83719729573917, 25.299054425017864, 51.80894964712609, 92.28441339286461, 19.116778763131844, 103.0, 78.23906619031887, 246.29582838338314, 7.266979027764197, 126.69338999486077, 122.3151284956243, 91.71095186919861, 356.4687237045786, 190.54512662012323, 106.05805511887066, 77.07182361517397, 480.0237120105382, 44.200230631583004, 24.0, 205.15123366154072, 101.2711786438, 220.32097559493357, 376.77814327748126, 37.49977918590085, 294.56983553364546, 112.86621426031171, 104.80687112927748, 84.0, 15.279036698711696, 179.34431771706468, 16.0, 178.2972650759083, 440.0778363249791, 243.2168254562584, 169.60466852513315, 207.0121443162409, 406.54509675610046, 121.96505973955826, 101.0, 130.6079152822538, 721.7167980228934, 75.15805158943547, 448.54894028317324, 24.16280270426082, 184.33422971884673, 83.31928782833998, 399.7291329709251, 565.3786258187627, 322.2963479343116]","[335.4400775015281, 29.750082388538342, 86.88513117485138, 856.0, 32.78966370352265, 116.39715059121633, 178.83719729573917, 3.0431470487012207, 41.10331729463802, 277.8565602432639, 0.0, 33.0, 100.57468234820448, 224.7711121535204, 40.79017170539257, 63.01041434993873, 218.34758547862643, 23.06667972473819, 512.0772241434294, 52.41833257681014, 133.34631116487262, 22.0, 445.4506200903398, 22.275235828559104, 0.0, 223.54698154575777, 41.0, 229.21592367237892, 288.980439609392, 77.0, 295.9262292610674, 116.22486062680058, 284.0058230588136, 77.0, 0.0, 70.80865022076229, 11.0, 224.01140659928794, 457.1074774803753, 313.19814221803824, 311.10393788041415, 206.47066510333266, 516.3043848033946, 35.92132477773573, 87.0, 284.6869786119462, 973.9249392054721, 111.1142055570432, 526.8624603119325, 50.16280270426082, 279.86092591562465, 45.49357974317923, 468.3814342351522, 676.1656742586247, 431.69359630016856]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[161.9064618403739, 66.44725775523045, 89.56370160439954, 670.0, 44.800390398803636, 102.93426337040599, 229.83719729573917, 25.60214277046318, 47.80799956824061, 119.14850901510151, 19.116778763131844, 99.0, 61.510244834118865, 234.83726323252634, 5.185425681914477, 104.90785274033856, 115.3151284956243, 89.71064797860856, 375.8234952195622, 184.5348851298608, 97.62134712230545, 74.09164260123138, 448.0237120105382, 37.2462801019834, 24.0, 200.01756778827382, 54.0, 244.1148915141958, 338.81945652761055, 19.499779185900852, 290.2266745688966, 121.50807932204795, 94.14780120791954, 126.0, 11.279036698711696, 340.1532062463824, 26.28538143081503, 165.40438548210966, 442.64487467028385, 232.0897066633338, 228.60714171191174, 185.74404902961737, 403.2455619631206, 101.35191590168927, 109.0, 95.29609043651793, 647.1982589127971, 68.75111578806248, 437.8617169673056, 22.16280270426082, 148.18623601375523, 92.24157721279185, 423.9042811926912, 581.962476174693, 302.0621097181422]","[321.41011276993794, 29.750082388538342, 75.88513117485138, 832.0, 29.88719632392904, 107.99674745340674, 169.83719729573917, 2.86986174132298, 37.84702867737843, 306.31650819811045, 0.0, 32.0, 41.57468234820449, 219.98020367603914, 40.448852438205364, 25.928786458880058, 212.10241275939626, 21.210831753459313, 532.9734879396298, 46.68882392566225, 129.70460823201577, 19.0, 451.3374957424268, 22.121254477120505, 0.0, 217.54698154575777, 34.0, 241.0302044165403, 261.957045280222, 71.0, 294.9262292610674, 113.28876828105264, 282.56972853491095, 94.0, 0.0, 80.71144417928842, 11.0, 214.84547403496572, 458.1074774803753, 310.19814221803824, 312.77643544283956, 193.36544668776548, 510.2016188036435, 40.30818093986674, 100.0, 249.55530183458498, 944.2740748653321, 108.1142055570432, 530.9186484469641, 46.16280270426082, 277.57262788938874, 48.935620244311266, 473.4830253644208, 681.3250419050354, 420.5175165023146]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[159.92753670296966, 56.44725775523046, 95.56275152551406, 643.0, 40.800390398803636, 85.66562975328416, 187.0, 24.60214277046318, 44.83300766326338, 190.74271010325342, 6.8476302219421505, 31.0, 176.5102448341189, 204.83726323252634, 5.185425681914477, 94.91300345038998, 114.3151284956243, 66.97979651979824, 366.8948636987227, 186.53490243594854, 95.62134712230545, 64.09164746965709, 427.204225033563, 38.2462801019834, 55.0, 172.01756778827382, 56.0, 261.32791257415033, 340.0880901447324, 21.499779185900852, 287.6799392773289, 167.75580937600185, 95.14780120791954, 114.0, 12.279036698711696, 368.15320137795675, 27.2853641247273, 162.16098288272656, 438.86421925352965, 232.0886271263282, 264.6071417119117, 188.742798236652, 363.00953459936494, 92.13889484173474, 113.0, 223.83142706259463, 613.2339491838976, 60.67974730890187, 387.86171696730554, 13.0, 144.83858993004287, 38.9910754155723, 422.1066880870349, 579.9230223338064, 280.46790862999035]","[325.41011276993794, 29.750082388538342, 76.88513117485138, 823.0, 29.88719632392904, 98.01452738051742, 168.0, 2.86986174132298, 37.84702867737843, 282.2850576959762, 0.0, 33.0, 139.34149843159256, 221.98020367603914, 40.448852438205364, 25.928786458880058, 187.33559667600824, 22.07802825315407, 533.9734879396299, 50.41833257681014, 126.5068284616541, 19.0, 416.53527551278853, 22.121254477120505, 0.0, 220.54698154575777, 36.0, 241.84796200457765, 253.93926535311138, 33.0, 293.9262292610674, 118.2022057364455, 286.56972853491095, 95.0, 0.0, 79.98193552814054, 11.0, 217.84547403496572, 458.1074774803753, 303.02446492913054, 329.9092389431448, 199.36544668776548, 511.2016188036435, 41.49042335182939, 100.0, 292.64186437919216, 952.2740748653321, 109.1142055570432, 526.9186484469641, 9.0, 260.7777147081839, 48.935620244311266, 473.48302536442077, 687.3388474191397, 398.5240562766239]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[237.09373556967526, 43.60303627252084, 82.56370160439954, 647.0, 30.129036518385437, 75.03904324127937, 155.0, 16.798833610918713, 44.8320575843779, 133.84164971755516, 6.8476302219421505, 28.0, 106.89514254027891, 168.32457044347953, 11.185425681914477, 88.8154708299836, 96.97333279289172, 118.97979651979826, 324.6415900678239, 208.96645263416102, 87.72849084728534, 21.075371050494383, 408.45023796944577, 30.322823851651727, 62.0, 172.01756778827382, 51.614990227415745, 271.174480228046, 317.6381329070689, 14.0, 282.0509830963988, 232.74661015363455, 80.15025828650901, 116.02887222177417, 10.836454093970278, 335.49560086011553, 36.145605498487825, 295.0019167120899, 437.79217192499107, 198.25548249703334, 295.38935720362537, 174.742798236652, 352.4938962222457, 100.30120561680826, 158.0, 214.46769766200183, 560.3987379552466, 58.390104071886924, 373.86171696730554, 9.0, 175.67073851397754, 35.9910754155723, 416.8137497222784, 583.7048923565532, 297.27207622604266]","[347.41011276993794, 29.108981380116933, 70.88513117485138, 823.0, 29.88719632392904, 93.39159627653099, 165.0, 1.86986174132298, 36.84702867737843, 256.2850576959762, 0.0, 32.0, 133.34149843159256, 215.1808743821852, 40.08995344662677, 24.928786458880058, 188.852871221589, 21.210831753459313, 532.9734879396299, 52.68882392566225, 122.30806180500251, 17.0, 396.21676762385937, 22.121254477120505, 0.0, 216.95102056457563, 32.0, 247.2694067402413, 279.5621964570978, 31.0, 289.9262292610674, 156.33627474013352, 280.56972853491095, 92.0, 0.0, 78.71144417928842, 10.0, 229.44143501614786, 458.1074774803753, 302.11798632221473, 324.77643544283956, 192.16477598161939, 473.2016188036435, 49.1030184122799, 134.0, 289.41427398241996, 950.2740748653321, 107.1142055570432, 514.8846086508499, 8.0, 282.77771470818385, 46.935620244311266, 472.48302536442077, 675.3388474191397, 394.5240562766239]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[217.17408417598202, 37.60303627252084, 49.04466361645563, 603.0, 66.18760931890539, 67.04566899425191, 150.0, 39.84389108654463, 43.35109557232182, 152.64269746089002, 2.875905246576766, 28.0, 105.8971398466296, 155.5767692553587, 11.185425681914477, 26.7983235952958, 96.26539963333094, 108.95152149516363, 365.2510890291447, 204.96645263416102, 86.93106291588764, 21.075371050494383, 432.87265347209336, 19.473032225726016, 63.0, 186.77807739303069, 59.614990227415745, 249.17448022804595, 320.48129878002203, 14.0, 285.0763430995467, 221.80914480536632, 63.11469438847675, 178.1644979516978, 10.836454093970278, 393.4505433844896, 34.145605498487825, 301.1665145123324, 434.09715728183204, 182.25548249703334, 277.38935720362537, 162.06241045654272, 326.57684181055663, 100.30120561680826, 157.0, 181.8373146454967, 619.2400400340543, 52.1634527199835, 365.4848283323767, 18.0, 167.90894896004923, 33.9910754155723, 419.17016137063854, 559.2029490701361, 303.0621097181422]","[346.25433425264754, 27.264759897407316, 70.88513117485138, 822.0, 42.88719632392903, 93.39159627653099, 164.0, 13.626871059586668, 36.84702867737843, 250.56009071102642, 0.0, 32.0, 133.34149843159256, 221.87432602842009, 40.08995344662677, 24.928786458880058, 193.60373859339185, 21.210831753459313, 561.9734879396299, 35.27012984627365, 124.23868654427046, 17.0, 383.53527551278853, 22.121254477120505, 0.0, 194.79085009364064, 14.0, 247.2694067402413, 310.5621964570978, 0.0, 294.640406774299, 149.33627474013352, 278.56972853491095, 111.0, 0.0, 95.37312894041335, 7.0, 217.60160548708285, 457.48837738610337, 302.11798632221473, 322.77643544283956, 193.1327620735637, 468.2016188036435, 49.1030184122799, 134.0, 289.41427398241996, 960.328237112305, 107.1142055570432, 515.8624603119325, 8.0, 282.77771470818385, 46.935620244311266, 484.85243319086044, 671.3203841593271, 385.0694932259569]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[168.69429776954655, 36.08282267895629, 48.80664627633693, 706.0, 68.62920944009237, 56.798917849723345, 131.0, 44.64720024608908, 28.717394967614197, 161.44398423157105, 2.875905246576766, 28.0, 100.8971398466296, 154.5767692553587, 17.185425681914477, 26.7983235952958, 101.26539963333094, 112.95152149516363, 376.0364711023606, 157.46640914902318, 86.93106291588764, 20.075371050494383, 387.6921404490686, 30.525326334533336, 74.0, 158.41479130129196, 34.614990227415745, 245.0574567558702, 344.6757558157433, 11.499779185900852, 274.05655054773945, 298.0232945806506, 45.49573786675316, 213.12239819222975, 11.279036698711696, 420.943197169288, 34.84990685338196, 281.9599184277105, 427.8550717121798, 182.56034945133894, 277.6071417119117, 146.02493364813367, 331.4240627393673, 92.418229088984, 151.0, 164.1774156839688, 624.704852606584, 52.78240924170709, 351.52692809184475, 65.0, 239.65276743855978, 36.9910754155723, 412.076117700732, 541.8980821158306, 349.7718453904152]","[346.25433425264754, 27.264759897407316, 70.88513117485138, 876.0, 42.88719632392903, 103.36215413020729, 163.0, 13.626871059586668, 36.84702867737843, 260.0288591629926, 0.0, 32.0, 132.34149843159253, 152.96814372839555, 40.08995344662677, 9.689905329576378, 191.60373859339185, 21.210831753459313, 555.8761271439173, 50.30128533119943, 124.23868654427046, 17.0, 383.53527551278853, 22.121254477120505, 0.0, 194.79085009364064, 14.0, 236.21298554510133, 317.59163860342153, 0.0, 294.640406774299, 157.48796438426024, 277.56972853491095, 142.9632111188804, 0.0, 104.00396031373445, 7.0, 216.60160548708285, 452.48837738610337, 302.11798632221473, 320.77643544283956, 188.09536556872823, 480.1147906672214, 49.1030184122799, 134.0, 271.41427398242, 880.328237112305, 114.45221869879632, 500.899249193052, 8.0, 323.0839170698267, 18.175122647570195, 482.93964202473546, 611.8148416382327, 416.6699336580923]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[156.48649438673587, 24.409963500706716, 101.34334541732815, 723.0, 64.18760931890539, 55.798917849723345, 90.0, 35.84389108654463, 15.463861645650972, 185.8442035982368, 2.875905246576766, 27.0, 95.80576988778152, 104.12701078529747, 14.066088242974779, 26.7983235952958, 88.97333279289172, 215.53311434157095, 347.2714260045773, 140.85990736226083, 119.00959275111245, 18.023154729876786, 440.3105608575051, 21.525326334533336, 76.0, 150.25028819453203, 27.614990227415745, 263.47044696219336, 307.6757558157433, 10.0, 270.3908315382895, 283.8903311046939, 44.48778322994329, 208.12239819222975, 35.08313742028607, 390.60191527666797, 30.15299519882728, 231.03485595842966, 423.9479503901329, 137.2281930699195, 263.8561930400528, 165.77295821411778, 355.00399534466436, 76.81954298488323, 151.0, 199.6340407466941, 736.7048526065842, 50.68837245225696, 385.93393973577633, 59.0, 208.48337802006716, 28.991075415572297, 379.3550040366402, 529.4281051635538, 362.3880490209721]","[345.9271934308971, 26.59190071915774, 96.88513117485137, 872.0, 43.88719632392903, 70.36215413020727, 164.0, 13.626871059586668, 35.84702867737843, 269.75919279340667, 0.0, 32.0, 131.52241282476794, 144.49613732096552, 40.08995344662677, 10.689905329576378, 196.60373859339185, 52.42639455512813, 550.7015513416443, 50.30128533119943, 145.87342491136891, 18.0, 429.51082471357915, 22.121254477120505, 0.0, 195.10361776287942, 14.0, 258.8760135722206, 317.59163860342153, 0.0, 292.974687764849, 158.4879643842602, 267.4791122252274, 130.9632111188804, 6.7842394380991085, 107.00396031373445, 8.0, 214.7798488224284, 448.66308539096894, 295.7348671571271, 312.77673933342965, 203.0491951869952, 490.4707549228929, 49.1030184122799, 116.0, 283.23325345888657, 941.328237112305, 115.45221869879632, 470.93328898916616, 3.0, 307.1067302118479, 19.1751226475702, 485.15422805567255, 606.9671242722752, 410.03825583003845]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[163.09672960914102, 34.409963500706716, 188.34334541732815, 711.0, 54.775641484216656, 88.64824844735348, 93.0, 24.470849913309017, 14.463861645650972, 187.27375026410334, 2.875905246576766, 49.840017006705764, 183.86924848790213, 97.92606540005674, 27.06608824297478, 22.680354813508405, 87.13331578618597, 192.54617845738613, 434.68948184893674, 133.30594747873434, 117.61775174187659, 22.81297822138644, 467.3105608575051, 38.76011294922496, 107.0, 148.9477253074486, 33.614990227415745, 257.47044696219336, 294.59163860342153, 10.0, 276.2831630780328, 257.4386739630918, 63.9681051798311, 206.10107635698438, 19.628061801733935, 311.0014679323867, 27.849906853381967, 243.25310493299705, 396.5165278106267, 134.2275316031532, 224.99759139724463, 168.77295821411778, 340.48840558875634, 77.81954298488323, 151.0, 199.7665407626375, 737.0104857359046, 60.60626513827009, 383.0393932192962, 64.0, 203.94259408934184, 32.9910754155723, 362.4725886373023, 520.4376386912965, 376.44133561330733]","[343.5858741637099, 27.233001727579147, 105.88513117485137, 866.0, 46.88719632392903, 84.85687792149346, 168.0, 13.747311063951395, 36.84702867737843, 273.4791957404926, 0.0, 0.0, 195.44806614795073, 133.08343233561558, 41.79017170539257, 13.904531778675734, 202.06906529935767, 55.42659231536021, 520.7925220468148, 54.30128533119943, 133.6854030437865, 0.0, 436.51082471357915, 27.281807354400215, 0.0, 195.47207048686522, 0.0, 233.5658019111182, 322.9363619348556, 0.0, 294.4172487571889, 156.7490995589832, 274.2167747328233, 131.9632111188804, 6.7842394380991085, 110.88352030936971, 11.0, 216.41139609844265, 446.66308539096894, 295.4575623187437, 313.7394350347739, 204.36040899361524, 486.4707549228929, 41.71616225014889, 101.0, 280.3270980065451, 943.328237112305, 96.62358548602984, 478.93328898916616, 3.0, 240.15470692409485, 21.960272329019304, 488.15422805567255, 582.5852151084225, 423.82992629746053]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[159.48649438673587, 34.409963500706716, 247.34334541732815, 698.0, 48.31953293265549, 173.61312146947438, 93.0, 24.167761567863707, 16.72237531422148, 244.8875033344404, 2.875905246576766, 40.840017006705764, 191.81842404284762, 163.31192639316194, 27.06608824297478, 22.680354813508405, 91.13331578618597, 214.16192830370073, 403.3342047505941, 135.3762773455837, 118.20068403072833, 16.0, 421.7276653090475, 72.16860859792948, 115.0, 149.4939953435295, 23.614990227415745, 222.65685484557025, 308.9597562640256, 7.0, 281.6902516306456, 249.74918358066117, 62.67794392015452, 205.03334243321538, 22.628061801733935, 226.332586063184, 19.56452542256694, 254.14843501810319, 390.8169377201194, 144.33287533634075, 291.20399227847116, 168.5298406061091, 385.43524015513935, 101.62696905229996, 117.0, 209.99521448015082, 737.6207209583097, 55.606265138270096, 362.22555955082925, 69.0, 181.2632702475753, 18.0, 373.289942153983, 532.9309593204708, 397.44133561330733]","[336.9571581624872, 27.233001727579147, 165.88513117485135, 844.0, 46.88719632392903, 95.72113242908424, 173.0, 13.747311063951395, 36.84702867737843, 302.7080880989497, 0.0, 0.0, 140.25684056878916, 179.08343233561556, 41.79017170539257, 16.904531778675736, 207.06906529935767, 57.31052611052846, 521.7925220468148, 55.30128533119943, 133.57227869587356, 0.0, 372.39678065869055, 32.41005589689293, 0.0, 196.47207048686522, 0.0, 236.3169044217088, 329.9438588847721, 0.0, 293.93968757904764, 159.7490995589832, 275.64201911727986, 132.2948025459048, 7.784239438099109, 112.88352030936971, 12.0, 214.77061589624788, 436.8498088171524, 296.4575623187437, 313.6743163388908, 205.36040899361524, 506.6979233256945, 62.96505973955828, 101.0, 235.69950848642145, 938.9569531135278, 97.62358548602984, 416.6016975621417, 4.0, 246.15470692409485, 21.960272329019304, 490.15422805567255, 596.5852151084225, 431.11963945555055]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[155.3192864313933, 30.409963500706716, 279.9104724109249, 685.0, 45.49611028344939, 188.89765246584963, 90.0, 54.76923534325481, 15.722375314221482, 214.97663325569724, 4.086813575545929, 21.840017006705764, 109.86924848790207, 192.3037304757944, 33.368126797608724, 22.680354813508405, 84.13331578618597, 247.78872758563045, 454.308812189843, 132.34378198162872, 87.17956346163106, 17.407731300010695, 443.99499440146155, 70.16860859792948, 144.88723570753814, 144.0634541190674, 22.614990227415745, 208.86162099024943, 321.6752252676503, 7.112764292461869, 281.9111895902972, 225.26914148390725, 55.663718731447034, 197.72801212637597, 19.628061801733935, 219.09876078261806, 31.564525422566945, 241.41217110363385, 381.08757330022985, 129.46783037037818, 263.3662846675723, 177.8365597931151, 363.762166906414, 96.49612267741347, 112.0, 199.18546796996196, 691.1791711720122, 51.156900411636066, 346.5878213373269, 63.0, 177.2632702475753, 7.0, 379.10938662038876, 524.2570547377234, 394.302564605395]","[336.9571581624872, 29.233001727579147, 187.88513117485135, 841.0, 46.88719632392903, 107.37914229590213, 172.0, 24.139745432816422, 36.84702867737843, 307.36021372363916, 0.0, 0.0, 141.25684056878916, 194.6837024321378, 41.79017170539257, 16.904531778675736, 207.06906529935767, 96.31052611052847, 557.9156646000636, 55.30128533119943, 113.34230918365895, 0.0, 399.39678065869055, 33.02067964719684, 0.0, 196.47207048686522, 0.0, 236.3169044217088, 339.6752252676503, 0.0, 293.4594147963832, 160.62595700573448, 241.9076960275479, 132.2948025459048, 7.784239438099109, 131.4910859405047, 12.0, 208.15217183658572, 432.4682528768145, 294.1565847778265, 277.1495919395121, 211.3604089936152, 492.24067829116206, 62.96505973955828, 102.0, 223.22423288580012, 898.9569531135278, 98.62358548602984, 416.6016975621417, 0.0, 247.6434177436568, 22.960272329019304, 496.13119878744357, 584.5550932648955, 420.7078928405479]"
