,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[549.735280504462, 216.85566672353997, 281.88610774000534, 988.0, 244.8431257453289, 361.02540698750886, 451.1510529879083, 102.52944609849143, 189.7247530710765, 260.22154722822637, 53.05954393113554, 207.1564169364419, 279.44938685678795, 382.77221284262225, 68.85731798562463, 267.331625416837, 323.7609550150193, 298.87491831791715, 615.1525181148793, 289.595947965638, 233.9658304919588, 207.67687822213315, 775.588740667824, 164.20247118252485, 106.40430735306177, 304.9472008265959, 267.9060035967365, 341.735687210992, 668.2258126668092, 224.54656227383074, 312.0010768582121, 414.4542494567069, 274.6326882254323, 201.0, 66.07343835536344, 506.86911698539575, 77.78795815400419, 451.72858269023664, 469.93853697915455, 359.2579082989164, 346.9070919976539, 252.68573610151782, 632.428874142029, 220.0434319013471, 190.31886584967918, 391.7301569780532, 984.2225207958813, 161.93742533139974, 571.2561318362308, 155.84894701209168, 400.68635803643474, 166.66632433558513, 513.0395330285053, 758.7359740870495, 454.4198777578677]","[649.4847498287213, 119.56339598757927, 349.45367080909296, 1096.0, 178.3645500059472, 417.0305772660213, 379.305688552854, 64.2720050064157, 134.7106951222992, 442.01762145233715, 0.0, 99.0, 486.3494209218643, 412.16200943023415, 84.54828993392634, 281.21196568789463, 407.41823041155305, 131.49223451056798, 600.0589821754445, 216.19767576787174, 304.23561203658227, 92.14000850293198, 757.4280350362819, 87.99554562401846, 20.021658862939677, 270.5060989043268, 196.18643053049678, 337.0190696814942, 514.183611504406, 264.18996333997796, 314.4500583383026, 373.06237260028354, 350.8573718059784, 171.0, 56.757213123307025, 242.13162373613463, 66.81003666002205, 477.1241588960673, 474.778979668647, 397.29366287371977, 438.8729300167787, 244.06098658863127, 643.0771961765463, 93.78829123071654, 183.0, 487.00707042262974, 1147.5289883854941, 214.12951770669147, 618.9715981985091, 114.69431144714599, 485.8905106889956, 94.66233082027676, 559.0031428854041, 827.6227778376951, 594.016694055778]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[508.6568344351469, 196.85566672353997, 422.8321003309705, 981.0, 194.82835396182617, 347.3623816398355, 425.30568855285395, 105.46831254385704, 168.46341643028023, 344.18144296715275, 53.05954393113554, 207.1564169364419, 251.7048674708712, 369.91501065475654, 64.5644800561622, 240.1851789359244, 314.7609550150193, 298.87491831791715, 640.2726534323432, 289.2869969200038, 227.08054540175573, 210.17840723476274, 768.1622003300059, 153.19120178285414, 103.40430735306177, 299.83129449142274, 175.65052298265337, 385.00509408494787, 644.9001074141532, 158.71032701314735, 312.0010768582121, 372.77451617495507, 291.6126512041455, 229.6969029388491, 64.07343835536344, 710.6741509915681, 118.09698942139616, 436.77793754728555, 468.8891821221056, 358.2579082989164, 377.78460659695395, 243.15463250306505, 616.086862334565, 197.0434319013471, 233.31886584967918, 371.76488968170406, 956.2476420301439, 138.5512295123983, 595.27372919568, 119.694311447146, 379.7396888817303, 198.1164148297685, 511.0395330285053, 791.7058222520554, 442.7982266952295]","[642.4847498287213, 117.50924102856368, 381.60174278879515, 1067.0, 166.0047138913971, 405.1463827398592, 376.305688552854, 62.873351356269474, 130.7106951222992, 459.9925626610329, 0.0, 97.0, 424.7738218838349, 409.16200943023415, 83.60244489294195, 275.13893380065963, 405.41823041155305, 125.8755391481646, 612.090423653659, 214.19767576787174, 302.23561203658227, 90.14000850293198, 764.8176682292706, 83.37107531914037, 18.553718023149845, 270.5060989043268, 180.76429525878225, 356.3134283660959, 472.1602171752361, 259.1898822920425, 313.4500583383026, 372.57581701078817, 359.73435861758054, 188.12055946225112, 52.757213123307025, 296.6393689604252, 66.81011770795747, 472.1241588960673, 479.71790985777386, 395.29366287371977, 441.36338421070434, 238.83028780684322, 645.7712262323353, 98.88309770051055, 229.0, 470.13104590085135, 1143.8965437759223, 214.0204261325472, 623.7046849984455, 113.69431144714599, 493.76660445159195, 123.4201847345691, 553.5398116114034, 834.7315151412912, 589.3572290873053]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[499.93095591386964, 173.58154524481716, 441.5023487627605, 936.0, 187.81816054050432, 261.235749832809, 399.305688552854, 107.35567091860771, 161.46341643028023, 439.2058681502535, 37.62098250861947, 108.0, 438.18722114166377, 373.36455285388143, 62.56448005616218, 195.63859946387228, 315.6900483292333, 280.47577212953433, 615.2717430975235, 288.68651906894974, 206.35703174785382, 156.4208274392179, 744.9410523694852, 164.69025588847313, 191.49123269799563, 242.84648983840896, 165.80693991909527, 426.26424576541126, 637.6696869256562, 163.6234016682135, 309.32913940973197, 486.33360277607886, 299.5825625763378, 217.10765075470567, 60.97528757175975, 801.6043399623424, 120.09735384938553, 426.77793754728555, 468.88418019644115, 363.0175037006864, 397.8429503921564, 242.15463250306505, 576.0868623345651, 209.7972766761781, 233.31886584967918, 438.837651683961, 944.247642030144, 133.0922857203024, 557.8629813798234, 71.694311447146, 378.2146660032821, 158.6644052377928, 506.9846410381058, 789.3231702620719, 435.1839385184398]","[646.4847498287213, 117.57880981487811, 384.60174278879515, 1059.0, 171.00471389139707, 398.0125784964159, 378.305688552854, 64.2720050064157, 132.7106951222992, 449.1422102558259, 0.0, 99.0, 503.9222847863677, 409.16200943023415, 84.5328761066275, 243.13893380065957, 388.26750181876406, 126.49223451056798, 614.090423653659, 215.4547264831572, 285.75789846207425, 92.14000850293198, 735.0914483428384, 86.37107531914037, 75.52985571940584, 270.5060989043268, 181.76429525878225, 357.92426321170024, 459.2940214186792, 222.21374459578652, 312.4500583383026, 423.69486078232507, 359.73435861758054, 190.12055946225112, 54.757213123307025, 307.8745730208492, 69.81011770795747, 473.1241588960673, 479.71790985777386, 388.9418801019628, 454.8729300167787, 238.83028780684322, 645.7712262323353, 99.88309770051055, 231.0, 474.00707042262974, 1147.0633473241726, 214.12951770669147, 618.3166797975794, 84.69431144714599, 476.8957659831816, 124.4201847345691, 554.5398116114034, 833.7938831787518, 559.8367395610371]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[654.5981861425687, 185.59460270134943, 393.6900985208752, 933.0, 142.91477566981433, 242.21985245355555, 354.47862558027003, 96.46831254385704, 149.46341643028026, 386.09031892460723, 37.291866774392545, 121.2311577308853, 391.9523934798139, 346.8991839773452, 92.12054655104376, 177.3836781608562, 337.48550546837976, 390.4386826950961, 586.0861959977772, 310.7874347041725, 186.34601469998782, 91.44389223772826, 731.9729928865028, 138.0918515088372, 256.49123269799566, 237.65325083881635, 167.33056416298814, 421.24173573956, 609.2839886845455, 106.62332062027804, 307.32913940973197, 541.1281986839222, 282.0608787733176, 240.7937341626813, 53.07383934080831, 728.5812751638321, 144.43565006767687, 654.735079379503, 467.21206447048445, 376.66521734641003, 406.98462771535634, 239.95396179691895, 558.8316575148641, 210.20934003044232, 263.3188658496792, 401.97746275189417, 911.6588994292891, 124.00468369694468, 542.8629813798234, 46.521374419729966, 420.64200455680236, 145.73132170933425, 499.39029735757526, 800.9505157400939, 440.2664423522627]","[676.4847498287213, 116.50924102856368, 303.60174278879515, 1064.0, 166.0047138913971, 391.01257849641604, 376.2945618910028, 61.873351356269474, 130.7106951222992, 414.4626253839744, 0.0, 102.0, 499.98735780258335, 404.62572366565, 85.60244489294195, 243.13893380065957, 393.2221476917614, 200.8755391481646, 613.090423653659, 241.00984048013765, 255.74044526311732, 90.14000850293198, 772.9197040832502, 83.37107531914037, 74.52985571940584, 269.60277869118556, 179.76429525878225, 360.24702526786825, 485.2940214186792, 221.21374459578652, 310.4500583383026, 485.04286489280565, 359.73435861758054, 187.12055946225112, 50.757213123307025, 304.38231824513974, 68.25500371097704, 456.8342401096159, 478.91114885736647, 395.92486391843306, 456.36338421070434, 234.83028780684322, 611.7712262323353, 107.43996481024617, 253.0, 471.80005797390044, 1152.174027113089, 214.0204261325472, 610.3777442682511, 82.70543810899719, 489.6768770647964, 123.4201847345691, 552.5398116114034, 825.285182210399, 514.9074997170416]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[605.5981861425686, 163.59460270134943, 305.6967661974938, 899.0, 209.73725186732162, 234.2219318350146, 354.46749891841887, 121.74119645518716, 132.46781537468217, 385.94270172945926, 16.116778763131844, 121.2311577308853, 379.491354414015, 343.0613170277534, 95.12054655104376, 138.82250425339717, 407.1821486176551, 337.6137707063567, 651.0861959977772, 310.72899605171006, 210.7677546760463, 85.49263430882652, 836.7403744648187, 92.08977212737815, 256.49123269799566, 282.32785973824735, 191.12355548409775, 384.14607882918153, 646.2839886845454, 113.62340166821348, 306.9482395040039, 511.5179977775913, 269.3232162657217, 307.22529784811815, 54.01622268407527, 778.3083912525019, 146.49400767220382, 631.735079379503, 466.59354218672905, 368.5928410920456, 399.98462771535634, 230.92194788886326, 520.2267083414927, 210.64726208508185, 261.3188658496792, 367.61809005316985, 906.524020823439, 119.74234620454057, 545.4314176943866, 86.53250108158116, 407.51981795826975, 149.73132170933425, 502.51205792582044, 787.4352622696239, 435.0728979271272]","[672.5153739559499, 100.47861690133502, 302.60174278879515, 1061.0, 207.9618709147984, 388.0451296818504, 374.2945618910028, 91.88237077704171, 129.6781439368648, 415.4626253839744, 0.0, 102.0, 483.4428825395515, 406.33394774467394, 85.60244489294195, 243.13893380065957, 415.94388103558583, 199.8755391481646, 639.090423653659, 221.46792605372488, 263.29582999293353, 90.14000850293198, 799.6425860096097, 83.37107531914037, 56.55371802314984, 276.83810364853247, 121.30877052181413, 360.24702526786825, 511.2940214186792, 171.1898822920425, 311.0691584325745, 482.0428648928057, 359.73435861758054, 198.07220413521023, 50.757213123307025, 333.91521325078037, 68.25500371097704, 442.49024455245495, 477.4435623395074, 395.92486391843306, 456.36338421070434, 235.79827389878753, 610.7712262323353, 107.43996481024617, 252.0, 470.80005797390044, 1155.4488524377282, 214.0204261325472, 613.1832881787088, 80.70543810899719, 485.6768770647964, 123.4201847345691, 553.4339171657126, 820.9738804155446, 508.6328284851439]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[525.944481583565, 138.60551101584096, 299.1178672088698, 1052.0, 211.73725186732162, 249.6826215401048, 340.12378862941273, 118.55537748070205, 115.55156287890118, 405.7925938882266, 16.116778763131844, 122.2311577308853, 369.43200758686305, 337.8603722477531, 78.76334279555586, 138.82250425339717, 409.6525977931646, 334.6137707063567, 647.4180246728616, 263.82673615472976, 209.48324505172351, 83.71916279078258, 796.4952890332321, 88.03501895917942, 286.83594241919286, 266.71373811924747, 147.12355548409772, 374.51556012550486, 689.878052147654, 80.27869194701624, 300.42786888363736, 550.2448486544869, 238.62839774843397, 351.7977363727195, 54.01622268407527, 780.0525272604198, 140.49400767220382, 607.844352482908, 460.59354218672905, 369.5928410920456, 396.98462771535634, 209.3978054984507, 589.9884981701756, 172.47872556875873, 257.3188658496792, 331.61809005316985, 911.1548591555794, 116.80108103415179, 539.3894581260572, 186.4114162684747, 446.617499739133, 150.73132170933425, 488.7076023646954, 763.2731684840593, 451.4393949649442]","[671.5153739559499, 100.47861690133502, 303.60174278879515, 1109.0, 208.9618709147984, 387.4479095373697, 375.2945618910028, 92.88237077704171, 130.7106951222992, 430.64724696028844, 0.0, 102.0, 485.4428825395515, 367.4681391958491, 85.60244489294195, 234.16903295734946, 416.94388103558583, 199.8755391481646, 637.5746115080266, 233.44943643238628, 263.29582999293353, 90.14000850293198, 792.3433962672636, 56.31951463009753, 65.55371802314984, 276.83810364853247, 121.30877052181413, 354.3126315108837, 521.9102510667683, 170.1898822920425, 311.0691584325745, 488.4072750137219, 358.73435861758054, 236.08457888223563, 50.757213123307025, 354.789314071628, 68.25500371097704, 442.49024455245495, 472.4435623395074, 396.8336029206211, 455.36338421070434, 235.5984762045968, 634.637703909503, 107.43996481024617, 253.0, 446.80005797390044, 1108.1654586183163, 220.4074779555662, 613.8870193162735, 105.70543810899719, 502.5270496643677, 88.06945824052357, 553.4339171657126, 754.3361627197144, 532.4907458590988]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[513.713275297627, 133.5417701969298, 375.1531499779173, 1067.0, 205.73725186732162, 241.50404047020297, 279.7698536940872, 116.32701260948932, 107.16444157091755, 416.41767528595864, 27.387989142542736, 117.99825260649884, 336.7349065344811, 276.36791619258463, 109.0600799729305, 131.2275540610494, 387.10966682239035, 431.88599664019586, 640.1448755497576, 252.97509146814252, 257.412969736002, 78.96610569623246, 793.8300534740655, 83.21360002908125, 325.83594241919286, 261.71373811924747, 144.06800716649673, 427.04488202371397, 668.878052147654, 65.07824380344914, 296.7621498741874, 540.9265595827402, 222.3245547174589, 331.1504702058127, 69.86635495530673, 706.1662687301556, 128.88725238579104, 596.9481911436445, 460.5072610743786, 346.4513936399002, 406.6466074484758, 239.6271101699947, 600.7971349146586, 156.80824314363724, 312.3188658496792, 395.37416317046427, 930.1548591555794, 113.45438203930199, 535.3894581260572, 180.412617370707, 421.6937229663267, 128.32714500726917, 514.2658120383531, 717.9576754937405, 447.37579319883804]","[671.1882331341995, 100.80575772308543, 348.92955426882276, 1109.0, 208.9618709147984, 343.44790953736964, 374.3225103229021, 92.88237077704171, 105.72190788899263, 440.3427780058333, 0.005490714763955066, 102.0, 485.24308297823137, 360.4681391958491, 85.60244489294195, 234.16903295734946, 418.53343337263055, 295.510420532775, 637.5215123891697, 233.44943643238628, 293.09604190232733, 90.14000850293198, 806.1206349071883, 56.31951463009753, 64.55371802314984, 276.83810364853247, 121.30877052181413, 373.7017966652793, 521.9102510667683, 171.1898822920425, 309.40343942312455, 439.40727501372186, 354.7403640327481, 215.08457888223563, 69.26012634957902, 354.789314071628, 68.25500371097704, 447.45496848089573, 471.813804240965, 387.5899392298142, 459.8303461093333, 247.12261859500936, 639.6098869952024, 107.43996481024617, 248.0, 472.8000579739004, 1110.6512523533113, 220.4074779555662, 585.0120604268827, 91.67748967709791, 488.9566138949906, 88.06945824052357, 566.603804831089, 719.0210457282939, 501.75491029580434]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[503.7132752976269, 146.15598771638625, 460.5052881149472, 1046.0, 173.65295558680626, 258.28130294129335, 283.2051607009513, 103.17172080878973, 104.20891532643758, 408.81996345617966, 27.68118228375514, 205.15492697823092, 398.28601005292865, 271.3679161925847, 128.44586245347404, 136.07419925627454, 384.9533859092658, 410.5752188373389, 642.0364970513341, 256.2801652354226, 248.87456895331678, 79.57630985956847, 834.5940528352099, 118.09161422655677, 416.83594241919286, 257.46545899307165, 159.1603134432831, 415.89736089286725, 579.2227754790881, 51.18759561703596, 301.27499140948345, 505.2496482031286, 190.87121365073384, 317.7977363727195, 66.915097026405, 655.0765012837658, 103.03369599934558, 612.4743502194214, 442.98891741791925, 338.8347059998599, 374.35958290974435, 239.6271101699947, 567.5611858361892, 153.80824314363724, 310.3188658496792, 402.3404403067417, 927.5492740245043, 112.8010810341518, 523.142564387979, 182.3300441969362, 419.86807062576224, 130.32714500726917, 509.7559753111341, 690.8501522435635, 465.2841684243211]","[674.1882331341995, 105.85991268210103, 445.92955426882276, 1112.0, 211.96194870153232, 377.2939428338437, 379.305688552854, 97.12007184415572, 114.72190788899265, 451.88522283598655, 0.1196097164538974, 59.0, 464.4104716833735, 330.4476420599787, 86.54828993392634, 235.47107842587133, 428.88612066161954, 303.39790517862065, 627.9761662666499, 242.44943643238628, 286.17911442548683, 58.0, 796.1225239384479, 68.00554049383379, 113.99779655919568, 280.83810364853247, 85.33797899033162, 353.0407011270285, 536.9102510667683, 181.21374459578652, 311.40343942312455, 369.57643295753786, 362.2266066776, 224.07320400451894, 71.26012634957901, 360.5323515315972, 76.25500371097702, 456.45496848089573, 471.813726454231, 387.0072540309245, 469.14298013691973, 247.12261859500936, 640.6098869952024, 101.38697733481733, 223.0, 465.93653583612974, 1100.9770705158096, 200.62585140908297, 592.195340786572, 95.69431144714599, 478.65740688554433, 92.06945824052357, 568.9863709155555, 689.2441446329896, 506.21246546565106]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[501.67832893098915, 146.91257091615824, 410.1278988950573, 1045.0, 176.13046149265804, 439.97988535985866, 285.20516070095124, 96.34549598867345, 112.18880568291978, 437.7537500228982, 27.68118228375514, 193.55090327085037, 391.17471944389223, 347.85360688041783, 130.68927925370207, 121.38224225251835, 397.88525343309965, 444.59935631096084, 602.0598842515369, 251.915949391574, 247.97517070083995, 66.5487487954616, 784.9990464305844, 162.5812098728215, 420.83594241919286, 260.1299589016919, 125.52004950702168, 377.74861644310397, 584.9697889981594, 42.068144119769755, 307.0515248151255, 479.6081181622649, 156.28077662913597, 321.07749728594996, 66.915097026405, 555.8735006964978, 85.6215484094514, 621.4743502194214, 441.84691160344727, 341.4373590203893, 432.5054812345917, 235.2784998585392, 627.3525590905143, 174.07109380056357, 279.3188658496792, 394.33093489027254, 927.3878535414425, 108.5168887700578, 512.9710462517091, 183.97061483643486, 383.91034809701733, 86.58657412501354, 513.8132845929533, 720.3128400589284, 471.52160867083785]","[661.1882331341995, 105.85991268210103, 486.92955426882276, 1093.0, 211.96194870153232, 462.44773284580685, 380.305688552854, 97.12007184415572, 115.5405503061569, 485.1424294430852, 0.1196097164538974, 60.0, 434.02071890764887, 362.4476420599787, 86.54828993392634, 235.47107842587133, 428.88612066161954, 301.76987095785614, 626.9761662666499, 242.44943643238628, 282.16466594938703, 59.0, 698.8031855560359, 73.82835615270065, 103.99779655919568, 280.83810364853247, 85.33797899033162, 357.48383401729285, 537.9336453959384, 182.21374459578652, 310.79656623641483, 370.57643295753786, 363.2266066776, 224.07320400451894, 71.26012634957901, 358.5323515315972, 76.25500371097702, 451.0531844773545, 466.396868040608, 387.0542932990962, 459.60698894669395, 247.12261859500936, 664.7286419421876, 119.94384444455292, 224.0, 435.49031402284476, 1101.1393538015202, 200.62585140908297, 541.2480894123878, 95.69431144714599, 477.53645453125944, 92.06945824052357, 569.9863709155555, 708.5356552387626, 515.3014826850664]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[524.3923811983411, 147.55410123991732, 494.0084153580379, 1044.0, 172.12374643456073, 423.3334852706536, 337.7984721229845, 100.43490068014123, 110.18880568291978, 449.0785429798333, 29.156088570815236, 132.63187162110253, 302.1747194438922, 376.7907292484498, 168.81498075547526, 109.28212109775346, 392.88525343309965, 469.99068148187763, 640.9160758617087, 246.915949391574, 240.4121531196502, 100.6303438886394, 796.3067569186405, 164.49624357914826, 392.8887188917176, 235.13725177030568, 120.43908115676965, 351.0338405180994, 587.7011553810376, 74.01536764724503, 306.5952522168973, 521.608537275274, 159.18266951451187, 318.07749728594996, 66.90262057596834, 521.0754760414527, 114.71965552407549, 617.4635796622293, 437.8571043501227, 333.35108048090984, 420.9181830311181, 243.2784998585392, 620.0448486024582, 151.78586972556812, 276.3188658496792, 388.1675769432145, 918.9065694485585, 105.52399565006408, 470.971046251709, 182.37730341440164, 387.28735052637086, 60.13052770712312, 524.8107038715693, 722.1779239755073, 466.6377713339605]","[662.5311106270698, 107.25129888269451, 511.875006187334, 1092.0, 211.96194870153232, 461.4809819017088, 404.2945618910028, 108.20903586881451, 114.72190788899265, 494.66196248567087, 2.7937796135499657, 59.0, 433.02071890764887, 376.751433072896, 95.81402624046261, 235.47107842587133, 428.88612066161954, 309.51921368550074, 648.0993088198986, 241.44943643238628, 279.1010411673473, 61.0, 727.3092622098848, 74.67480486409856, 120.99779655919568, 279.83810364853247, 85.33797899033162, 357.48383401729285, 542.0539476286385, 181.21374459578652, 309.8262478963257, 385.45329040428913, 362.18381997465536, 224.07320400451894, 71.26012634957901, 370.44338750693845, 76.25500371097702, 442.58626038395, 464.19648029303767, 385.1179180811359, 434.76699293848895, 249.12261859500936, 640.2225652883387, 119.94384444455292, 223.0, 423.90679740630895, 1081.1430891873522, 200.0785957120321, 541.244354026556, 16.7054381089972, 479.0987010183511, 92.06945824052357, 571.9863709155555, 693.9109507229083, 505.65445871235835]"
