,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[1.0, 1.0, 3.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 3.0, 3.547937396848881, 2.0, 0.0, 1.0, 0.0, 3.0, 1.0, 5.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 3.0, 0.0, 3.0, 0.45206260315111896, 5.0, 2.0, 4.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 3.0, 3.0, 2.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 3.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 3.0, 3.547937396848881, 2.0, 0.0, 1.0, 0.0, 4.0, 1.0, 5.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 4.0, 0.0, 2.0, 0.45206260315111896, 5.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 3.0, 3.547937396848881, 1.0, 0.0, 1.0, 0.0, 3.0, 2.0, 5.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.45206260315111896, 1.0, 1.0, 4.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.0, 3.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 3.0, 1.0, 1.0, 4.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0, 1.0, 2.0, 0.0, 3.0, 3.547937396848881, 1.0, 0.0, 1.0, 0.0, 3.0, 2.0, 5.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 4.0, 0.0, 1.0, 0.45206260315111896, 2.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 4.547937396848881, 1.0, 0.0, 1.0, 0.0, 4.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.45206260315111896, 0.0, 2.0, 4.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 3.0, 0.0, 3.0, 4.547937396848881, 1.0, 0.0, 1.0, 0.0, 4.0, 2.0, 4.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 1.0, 0.45206260315111896, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[0.0, 0.0, 2.0, 2.0, 1.0, 4.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.6566565986804882, 2.0, 0.0, 1.0, 2.547937396848881, 1.0, 0.0, 1.0, 1.0, 3.0, 1.0, 4.0, 0.1932389995926011, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.452062603151119, 0.0, 1.0, 2.0, 0.8067610004073987, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.34334340131951185, 1.0]","[0.0, 0.0, 4.0, 1.0, 1.0, 4.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 3.536285764584128, 2.0, 0.0, 1.0, 2.547937396848881, 1.0, 0.0, 1.0, 1.0, 3.0, 1.0, 4.0, 0.1932389995926011, 1.0, 0.12037083409636025, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.452062603151119, 1.0, 1.0, 2.0, 0.8067610004073987, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.34334340131951185, 0.0]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[1.0, 0.0, 3.0, 2.0, 0.0, 4.856306588441737, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.6566565986804882, 3.0, 0.0, 0.0, 3.547937396848881, 1.0, 0.0, 1.0, 1.0, 3.0, 1.1436934115582627, 4.0, 0.1932389995926011, 0.0, 1.4379220546395373, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 1.452062603151119, 1.0, 1.0, 2.0, 0.8067610004073987, 0.0, 1.0, 0.0, 2.0, 0.5620779453604627, 1.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.34334340131951185, 3.0]","[1.0, 0.0, 5.0, 1.0, 0.0, 4.856306588441737, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 3.536285764584128, 3.0, 0.0, 1.0, 3.547937396848881, 1.0, 0.0, 1.0, 1.0, 3.0, 1.1436934115582627, 4.0, 0.1932389995926011, 0.0, 0.5582928887358976, 1.0, 0.0, 0.0, 3.0, 0.0, 2.0, 1.452062603151119, 2.0, 1.0, 2.0, 0.8067610004073987, 0.0, 0.0, 0.0, 3.0, 0.5620779453604627, 1.0, 3.0, 2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.34334340131951185, 0.0]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[2.0, 0.0, 3.0, 0.0, 0.0, 3.856306588441737, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.6566565986804882, 3.0, 0.0, 0.0, 3.547937396848881, 0.0, 0.0, 1.0, 1.0, 3.0, 1.1436934115582627, 3.0, 0.1932389995926011, 0.0, 1.4379220546395373, 1.0, 1.0, 0.0, 3.0, 1.0, 2.0, 1.452062603151119, 1.0, 1.0, 2.0, 0.8067610004073987, 1.0, 1.0, 0.0, 2.0, 0.5620779453604627, 1.0, 4.0, 2.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.34334340131951185, 2.0]","[3.0, 0.0, 5.0, 0.0, 0.0, 3.856306588441737, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 3.536285764584128, 3.0, 0.0, 1.0, 3.547937396848881, 1.0, 0.0, 1.0, 1.0, 3.0, 1.1436934115582627, 4.0, 0.1932389995926011, 0.0, 0.5582928887358976, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 1.452062603151119, 2.0, 1.0, 2.0, 0.8067610004073987, 1.0, 0.0, 0.0, 3.0, 0.5620779453604627, 1.0, 4.0, 2.0, 3.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.34334340131951185, 1.0]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[2.0, 0.0, 3.0, 0.0, 0.0, 5.856306588441737, 1.0, 1.0, 0.0, 2.0, 1.0, 2.232905124386462, 0.0, 3.536285764584128, 2.0, 0.0, 1.766088589325181, 1.0, 0.0, 0.0, 0.0, 1.0, 3.0, 1.1436934115582627, 3.0, 0.1932389995926011, 0.0, 0.5582928887358976, 1.0, 1.0, 0.0, 3.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.8067610004073987, 1.0, 1.0, 0.0, 2.0, 0.5620779453604627, 0.0, 5.0, 0.0, 3.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.34334340131951185, 1.0]","[3.0, 0.0, 5.0, 0.0, 0.0, 5.856306588441737, 1.0, 1.0, 0.0, 1.0, 1.0, 2.232905124386462, 1.0, 3.536285764584128, 2.0, 0.0, 2.766088589325181, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.1436934115582627, 4.0, 0.1932389995926011, 0.0, 0.5582928887358976, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 1.0, 5.0, 1.0, 1.0, 0.8067610004073987, 1.0, 0.0, 0.0, 2.0, 0.5620779453604627, 0.0, 5.0, 0.0, 3.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.34334340131951185, 0.0]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[2.0, 0.0, 2.0, 1.0, 0.0, 4.856306588441737, 1.0, 1.0, 0.0, 1.0, 2.0, 1.2329051243864622, 0.0, 5.267913884624338, 2.0, 0.0, 2.766088589325181, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.1436934115582627, 2.0, 0.1932389995926011, 0.0, 0.8266647686956873, 2.0, 1.0, 0.6657190094499653, 3.0, 2.0, 3.0, 1.0, 6.0, 1.0, 1.247999878199613, 0.8930421127578202, 1.0, 1.0, 0.0, 2.0, 0.5620779453604627, 1.0, 4.0, 0.0, 3.0, 0.0, 2.0, 2.0, 2.0, 0.0, 1.3433434013195118, 2.0]","[2.0, 0.0, 4.0, 0.0, 0.0, 4.856306588441737, 1.0, 1.0, 0.0, 1.0, 2.0, 1.2329051243864622, 0.0, 5.267913884624338, 2.0, 0.0, 3.766088589325181, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.1436934115582627, 4.0, 0.1932389995926011, 0.0, 0.8266647686956873, 2.0, 1.0, 0.0, 3.0, 0.0, 3.0, 1.0, 9.0, 1.0, 1.0, 0.8067610004073987, 1.0, 0.0, 0.0, 2.0, 0.5620779453604627, 1.0, 5.0, 0.0, 3.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.34334340131951185, 0.0]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[2.0, 0.0, 2.0, 1.0, 0.0, 4.64266995499455, 1.0, 1.0, 0.0, 0.0, 3.0, 1.2329051243864622, 0.0, 3.3882847187206986, 2.0, 0.0, 4.544382081600418, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.35733004500545046, 2.0, 0.1932389995926011, 0.22170650772476305, 0.7062939345993271, 4.0, 1.0, 0.6657190094499653, 3.0, 2.0, 3.0, 1.0, 9.0, 1.0, 1.247999878199613, 0.8930421127578202, 1.0, 1.0, 0.0, 1.0, 0.5620779453604627, 1.0, 4.0, 1.0, 3.0, 0.0, 3.0, 1.0, 2.0, 0.0, 2.343343401319512, 2.0]","[2.0, 0.0, 3.0, 0.0, 0.0, 4.64266995499455, 1.0, 1.0, 0.0, 0.0, 3.0, 1.2329051243864622, 0.0, 4.267913884624338, 2.0, 0.0, 5.544382081600418, 2.0, 1.0, 0.0, 0.0, 1.0, 3.0, 0.35733004500545046, 4.0, 0.1932389995926011, 0.22170650772476305, 0.8266647686956873, 4.0, 1.0, 0.0, 3.0, 0.0, 3.0, 1.0, 10.0, 1.0, 1.0, 0.8067610004073987, 1.0, 1.0, 0.0, 1.0, 0.5620779453604627, 1.0, 5.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 1.3433434013195118, 0.0]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[3.0, 0.0, 2.0, 1.0, 0.0, 4.64266995499455, 3.0, 1.0, 0.0, 2.0, 3.489786125417587, 2.232905124386462, 0.0, 2.3882847187206986, 1.0, 0.0, 4.544382081600418, 2.0306870519524605, 0.8768574467512908, 0.0, 1.0, 1.0, 2.0, 0.35733004500545046, 3.0, 1.1932389995926012, 0.22170650772476305, 0.7062939345993271, 4.0, 1.0, 1.0466189151780694, 3.1231425532487096, 2.0, 3.0, 2.0, 9.0, 0.0, 1.247999878199613, 1.5121422070297161, 1.0, 1.4795268226299523, 0.0, 1.0, 0.5620779453604627, 1.0, 4.0, 1.0, 3.0, 0.0, 4.0, 1.0, 2.0, 0.0, 2.343343401319512, 2.0]","[3.0, 0.0, 2.0, 0.0, 0.0, 4.64266995499455, 2.0, 1.0, 0.0, 0.0, 3.489786125417587, 2.232905124386462, 0.0, 3.2679138846243383, 1.0, 0.0, 5.544382081600418, 2.0306870519524605, 0.0, 0.0, 1.0, 1.0, 2.0, 0.35733004500545046, 4.0, 1.1932389995926012, 0.22170650772476305, 0.8266647686956873, 4.0, 1.0, 0.0, 3.0, 0.0, 3.0, 2.0, 10.0, 0.0, 1.0, 0.8067610004073987, 1.0, 1.4795268226299523, 0.0, 1.0, 0.5620779453604627, 1.0, 4.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0, 1.3433434013195118, 0.0]"
