,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[910.2719477979994, 468.11627173284563, 685.3706413012118, 1196.0, 386.20762517822334, 728.1278292491603, 591.5931934890981, 233.0712745939991, 338.02230061657815, 498.6300715299879, 95.69024213999396, 343.69160394858716, 626.3553524704172, 497.7508632731944, 111.65651370036609, 362.83111618760927, 516.7058667238786, 560.081814882232, 703.8249121295717, 410.0835609950141, 411.6849591651338, 379.7364059294317, 1036.180231956587, 332.6256003611848, 333.46683918438157, 357.24939202289363, 516.8663613628926, 461.2302500325038, 1027.2070446505857, 515.2744305068094, 319.32133766562595, 813.4447670282476, 366.442642578709, 345.67162750498284, 127.94052296079546, 800.3326669369142, 289.2962725864468, 708.5407793480014, 521.0576207434187, 437.2221831633793, 494.6835256815653, 279.94114810625246, 745.0950463561763, 324.01038193805596, 256.5748575720582, 576.6144493311931, 1140.9899167116616, 285.8718801916387, 700.4289498260517, 384.4068065109019, 599.8708277829195, 216.2932254233329, 589.5052445036433, 860.8954084115798, 570.8068526781401]","[1038.8358513080016, 391.52470693099957, 841.754725361319, 1337.0, 396.0020036111609, 1068.6048287401848, 573.5934232396006, 266.12269540810036, 353.4911949664253, 621.7452469753342, 19.636153221562164, 231.0009024193734, 864.837189152996, 604.2677993815677, 147.46869483210818, 383.6412817379817, 595.0990162572708, 548.8364341649897, 670.1586426306703, 484.171840366165, 598.6646039534214, 375.3595762449465, 1256.9717348517763, 348.7591605896217, 399.71691263297737, 325.918553331376, 484.37025677548826, 454.91114946361625, 955.1484634701744, 546.004261686986, 326.91836394638824, 1018.5377302674457, 452.65948280445286, 365.7096389896489, 167.79788974821903, 632.1014108404707, 409.1023570180319, 846.4990073298609, 521.5797263704806, 470.18681789556507, 700.0540587757587, 273.5370130366313, 742.4539879603757, 173.52233194465873, 392.6294954139693, 745.212453965759, 1227.9008457771854, 416.2162265415048, 767.1550604536371, 385.0696803272683, 687.474851540013, 231.51223991139221, 605.3946651067341, 885.7906112091896, 683.5400482275384]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[872.9616242847253, 427.11627173284563, 785.6564788581841, 1190.0, 343.31025007434056, 674.5473321664693, 577.5931934890981, 247.0087863818548, 313.0223006165782, 507.721589994154, 92.69024213999396, 342.69160394858716, 573.0138666534032, 477.99489940064325, 104.77507784980013, 342.8567350086958, 509.7058667238787, 554.1177111666362, 705.8806674155005, 435.3093623764744, 398.5816271032359, 384.63546386217433, 1015.6671001674956, 308.8285079495792, 320.4447513403537, 351.06093749790824, 402.45057554238394, 463.69430275309935, 985.839103113709, 408.1384009070498, 319.32133766562595, 755.5120557937594, 380.29817813169194, 360.37989847071964, 120.49403627909267, 1118.243282288206, 350.2269346080573, 685.3274534806125, 516.3567762396757, 430.72528641472957, 503.094116078864, 271.3908983826493, 730.0139044237426, 321.5724598834164, 314.5748575720582, 554.3717209687155, 1124.1721757668465, 256.9545712841901, 710.1792638320408, 337.4068065109019, 609.7894045939565, 295.7487306006353, 582.789606523273, 868.4250264068497, 561.381141684848]","[1028.4090145813232, 379.52343585867584, 915.4364203155993, 1310.0, 391.0020036111609, 1050.1119734461397, 569.5934232396006, 261.4388583397952, 347.48603180520524, 617.672632664213, 18.636153221562164, 228.0009024193734, 823.0864790658525, 600.4892465094703, 144.39240349252023, 383.6412817379817, 589.1123706675397, 486.37184859736254, 679.03831667993, 489.1158811536657, 589.427825463875, 368.4288892111968, 1257.3500306379299, 338.7705785555045, 387.71691263297737, 324.918553331376, 447.1422523803921, 469.8148485292518, 866.1267924269924, 537.8075502525573, 326.91836394638824, 1003.590560722387, 448.48605938273715, 371.9597059656289, 166.09847792699512, 823.0320978742205, 453.40817077558324, 838.4990073298609, 521.5797263704806, 467.7352443953881, 696.4282337313316, 271.235985825121, 742.4539879603757, 173.14833123997215, 416.6294954139693, 719.9676364710078, 1228.7254651687697, 412.8469204991865, 771.7560653238996, 376.0696803272683, 690.0369098554595, 278.0882881975318, 601.7438351365773, 887.1265731334851, 681.6513474506588]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[861.3687405212826, 349.5716258263985, 779.0736658844836, 1158.0, 343.3960797032086, 593.929116712334, 577.4841743769182, 243.29918772331104, 289.0223006165782, 568.0463719482221, 75.1130133409965, 219.090737068734, 672.2811150316649, 479.99489940064325, 103.80025280111315, 331.57961040910726, 502.11532246717707, 524.9151878975322, 696.227486171296, 426.94192769966014, 358.39683406373433, 308.63546386217433, 984.1900635595815, 313.1933481708248, 407.69678139430385, 312.19154769374086, 344.64265415010965, 555.7560565414801, 987.5760869878976, 440.82217459373743, 318.32133766562595, 851.7225557456089, 381.29817813169194, 352.49225318929655, 120.51807816910612, 1203.8088614015448, 344.53497372446526, 679.4239052349702, 519.0438846606173, 451.1766161102958, 510.84982625695204, 271.8515216524126, 724.7988725122159, 364.51070609503495, 316.5748575720582, 629.1060863680658, 1112.1212584992331, 259.0421734150555, 676.445213011181, 237.51582562308172, 602.6630938496413, 278.03896832591045, 585.3289832535097, 869.4250264068497, 556.0915669525444]","[1030.4090145813232, 382.52343585867584, 915.4364203155992, 1309.0, 389.8834741986567, 1020.658713135659, 569.5934232396006, 261.4388583397952, 349.48603180520524, 607.672632664213, 18.636153221562164, 228.0009024193734, 846.5992446772377, 599.4892465094703, 144.46996590443192, 334.5825812619947, 586.642224396943, 488.21339718774954, 686.2023247119548, 489.41112533560494, 577.427825463875, 370.4288892111968, 1231.272468226018, 338.7705785555045, 422.51266871843103, 324.918553331376, 448.49167124004515, 488.38943793501966, 842.5800527374729, 538.0117941671035, 325.91836394638824, 1030.5344833784511, 450.48605938273715, 372.9597059656289, 166.09847792699512, 887.5728456602563, 458.0388647332649, 841.4990073298609, 521.5797263704806, 476.7913217393238, 704.4282337313316, 271.235985825121, 742.4539879603757, 200.57374183420436, 417.6294954139693, 735.7340496801792, 1229.9008457771854, 414.2162265415048, 768.5806847154839, 364.0696803272683, 682.0369098554595, 278.0882881975318, 601.7438351365773, 887.97502428871, 659.8040383056098]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[981.8819936417052, 379.57162582639853, 750.8783441069417, 1146.0, 296.9051884578438, 551.5066304318509, 552.1510529879083, 225.93911474160927, 278.02230061657815, 535.1139771375085, 73.51028093665421, 237.6856932007583, 686.3470250460712, 461.45861363605906, 221.33415835272515, 305.94441726432956, 537.5322475646584, 624.2796449463383, 690.8850340000527, 430.9043105015388, 320.1716128633755, 262.19395327902015, 1017.4066089891, 372.0867298592027, 476.30503833778505, 305.4969589727165, 371.8954104451382, 551.6341438952766, 927.0443871977612, 369.8939876248375, 313.32133766562595, 904.8079941718438, 378.29817813169194, 416.979000068874, 115.51807816910612, 1141.712922182494, 364.10312314971947, 993.1315372585195, 512.1313069271486, 461.5432822004125, 535.9228613546559, 269.3908983826493, 717.808784389918, 368.51070609503495, 315.5748575720582, 602.5076908430075, 1101.9449122068268, 241.9545712841902, 666.4440370459491, 186.84894701209163, 627.1618053329407, 270.5129842891213, 573.789606523273, 860.3533695199415, 540.7408523210178]","[1087.40940317672, 355.5234358586758, 874.4364203155992, 1304.0, 388.8834741986567, 1009.658713135659, 565.5934232396007, 260.4388583397952, 341.48603180520524, 601.2207086155532, 17.337915643263468, 235.68212723733524, 866.6867770234053, 590.5032104684892, 154.18785871082304, 334.5825812619947, 578.8721282021146, 596.5699574394812, 684.2023247119548, 492.46393013453536, 508.0447134573483, 362.4288892111968, 1243.3876385191618, 335.7705785555045, 482.51266871843103, 322.7253143317834, 456.68601567855245, 489.2797405556765, 844.5800527374729, 526.0117941671035, 322.403223023601, 1070.6583020472754, 448.48605938273715, 378.9593173702318, 164.09847792699512, 870.8680898421953, 464.46568920027875, 837.4990073298609, 518.7729653700732, 492.91042685464043, 703.4282337313316, 267.6857361015179, 738.5070914834232, 210.5630683794511, 425.6294954139693, 729.6816814186274, 1230.7254651687697, 411.44135309362144, 759.7979686805348, 352.02777697063317, 699.0039748269066, 277.0882881975318, 599.7438351365773, 884.5398480688224, 637.9360351709943]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[946.4791366823549, 344.5716258263985, 609.9419675683429, 1110.0, 328.30388399734323, 529.4033665938272, 554.4841743769182, 219.7085461638925, 260.0018848771954, 503.07076941548996, 42.73142554044902, 237.6856932007583, 662.6442737128483, 455.4542411425059, 221.80097904787027, 287.7520295324532, 640.6068706195731, 586.0585003425435, 746.9635237605612, 425.34113804046103, 359.2860197946737, 246.19395327902015, 1111.5463325628605, 310.9118972059779, 452.46552430366796, 331.5552915753963, 457.1177150608505, 511.1962218406375, 936.161997723127, 371.8939876248375, 313.94043775989786, 849.9727264000018, 375.29817813169194, 475.5426387834183, 107.39308724229478, 1153.9434907602106, 362.66629561079725, 975.3875289808984, 516.1416291645988, 460.8166846425127, 528.9228613546559, 264.3588844745936, 703.0971695607761, 368.9486281496745, 311.46671681698933, 574.2899803942652, 1114.7652081778715, 231.87608152368162, 660.7960272245954, 278.51582562308175, 598.4188060616428, 270.0311708511465, 575.789606523273, 837.9922600176058, 528.2922611042773]","[1077.8854832297473, 306.04735580564864, 873.4364203155992, 1304.0, 404.030519765051, 1008.8024065472173, 564.5934232396007, 279.61953489713767, 341.48603180520524, 601.6726326642131, 17.337915643263468, 235.68212723733524, 865.6867770234053, 591.2114345475131, 154.18785871082304, 334.5825812619947, 631.1277835055134, 590.5787514555676, 710.5876003925456, 466.8523810943374, 545.2839340760473, 361.4288892111968, 1248.8927625970641, 335.11887269358965, 358.6759714475904, 328.81730579196994, 438.68601567855245, 487.8418185010369, 850.5800527374729, 505.35650388830084, 324.53746404066015, 1069.2730263666845, 448.48605938273715, 392.6984418148235, 164.09847792699512, 898.298962325051, 463.46568920027875, 822.2599703032799, 521.1538652758013, 492.91042685464043, 703.4194397152453, 268.6537221934622, 738.5070914834232, 210.00099043409062, 425.6294954139693, 728.6816814186274, 1232.7574790768253, 410.44135309362144, 767.0588442359432, 398.02777697063317, 698.0369098554595, 277.0882881975318, 599.7438351365773, 883.8316239897985, 632.9360351709943]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[861.2471442993865, 333.3612481553936, 595.435366156469, 1284.0, 329.30388399734323, 672.410841805531, 543.1510529879083, 208.05405074438391, 254.64849337092795, 507.68246680592483, 42.73142554044902, 237.6856932007583, 664.443086528353, 451.316040922871, 220.2433491018436, 283.75202953245326, 639.6068706195731, 587.343127058345, 746.2863945742585, 390.62474910690696, 358.899126804747, 228.19395327902015, 1086.9944942336172, 293.6363434698355, 440.27015610696503, 325.0092427234612, 393.3189022453459, 497.3344220602724, 945.013611932436, 364.8234307863154, 310.62017695248403, 838.4604699751068, 368.25959373460483, 520.921596671672, 107.39308724229478, 1132.1752244619502, 347.66629561079725, 971.7644971830837, 510.3107098143487, 458.45611931642384, 522.0924007350932, 247.65372219346213, 755.0359008799464, 290.9486281496746, 306.46671681698933, 535.1939447317981, 1106.45450189928, 213.89376188275963, 656.5520000775471, 338.02472254947776, 614.796420781369, 271.0311708511465, 547.5436731768808, 823.1017332871828, 544.6306035285083]","[1074.8854832297473, 306.04735580564864, 873.4364203155992, 1352.0, 404.030519765051, 1067.0315253543663, 563.5934232396007, 278.61953489713767, 340.48603180520524, 606.672632664213, 17.337915643263468, 234.68212723733524, 863.6867770234053, 554.2114345475131, 154.18785871082304, 333.47118813602935, 631.1277835055134, 589.5787514555676, 709.2023247119548, 468.4588828810997, 543.2839340760473, 361.400085073248, 1250.5699724917638, 272.1197701107643, 434.2045793454044, 328.81730579196994, 437.68601567855245, 479.8418185010369, 861.3500365131488, 504.82789599048687, 324.53746404066015, 1088.687106185224, 447.48605938273715, 423.6984418148235, 164.09847792699512, 908.6924605382885, 463.46568920027875, 822.2599703032799, 516.1538652758014, 492.91042685464043, 702.4194397152453, 268.6537221934622, 760.7055468845082, 210.00099043409062, 425.6294954139693, 691.6816814186274, 1211.8818137810406, 410.44135309362144, 757.0588442359432, 445.02777697063317, 689.274347165733, 264.9532149347848, 599.7438351365773, 880.8316239897985, 633.9360351709943]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[849.9319822569777, 326.688388977144, 638.66553335347, 1278.0, 320.4070924652694, 644.9361986752481, 472.1510529879083, 204.05405074438391, 233.65417377201507, 509.476037011417, 74.51904440472805, 229.9353273346134, 634.0577533286512, 397.2617608561568, 317.45745022446556, 271.28287161439994, 635.840782030248, 612.8769377500496, 745.8248163844308, 378.4788563272458, 424.0128772029402, 224.19395327902015, 1072.2466519085121, 271.2645378887206, 488.7857805983042, 324.0092427234612, 386.59149158985224, 539.1714850423064, 939.8600606438339, 350.3078062949762, 308.9544579430341, 830.0733618608128, 366.0267356498637, 494.92159667167175, 102.86824668852488, 1030.3350060598557, 339.66629561079736, 903.4870795013035, 510.22442870199825, 453.5776101211527, 541.1762161898479, 279.0045508743521, 756.1683528508946, 286.7849173306977, 401.46671681698933, 589.52513378758, 1078.0344023169698, 205.1442550369756, 648.3614101120504, 328.02472254947776, 556.7564965338961, 262.3971203012736, 580.6228670417037, 819.9800145325949, 534.6705277759813]","[1076.5583424079969, 306.374496627399, 897.4160045762164, 1353.0, 404.030519765051, 991.0315253543665, 566.5934232396007, 281.61953489713767, 292.01129606018293, 609.672632664213, 30.3471905113976, 235.44922211294877, 865.6867770234053, 557.2114345475131, 154.18785871082304, 333.47118813602935, 633.3616949161882, 607.8660461754968, 709.2023247119548, 470.4588828810997, 589.2839340760472, 364.4288892111968, 1257.62500175, 274.1197701107643, 441.2045793454044, 328.81730579196994, 442.68601567855245, 501.8418185010369, 862.3500365131488, 510.82789599048687, 322.8717450312102, 1044.6569269744703, 447.48605938273715, 390.6984418148235, 166.55054053014626, 910.6924605382886, 467.46568920027875, 817.5617597513966, 516.067584163451, 485.91180192744577, 723.6708075240309, 274.35888447459365, 765.6505176262722, 210.00099043409062, 441.5748575720582, 721.6816814186274, 1215.0571943894563, 411.44135309362144, 741.6974764178118, 364.2137641803488, 685.274347165733, 267.9532149347848, 611.9897684829695, 873.1459034057087, 591.6250894657225]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[850.5240712286982, 330.688388977144, 684.8485956345371, 1275.0, 308.4423120830945, 665.6506135951546, 477.1510529879083, 198.4892166945513, 212.65417377201507, 506.00291786383553, 76.01819276004842, 334.0095156563157, 657.697235157586, 391.11336775239886, 318.45745022446556, 277.7161664261741, 625.3497343180118, 578.7457107784555, 744.8897402194057, 381.9402585283072, 428.8591949060312, 222.0893846949782, 1086.3239906490278, 298.226288693438, 662.2701561069649, 321.80743499212326, 395.00835098038584, 537.9901140539096, 783.2888207547687, 311.6297801646156, 310.49818534480585, 777.6368427925024, 354.6174559430445, 482.31752892060985, 88.5494582055036, 1019.360937979445, 290.3167630665122, 908.4870795013035, 471.95772200373693, 435.3055175817561, 521.917519401407, 281.3358567786142, 751.0910141103792, 285.7849173306977, 399.46671681698933, 581.5081702253227, 1081.1989425630102, 207.51125532133707, 616.2088486453517, 304.0247225494778, 559.755475977766, 267.5561662312523, 569.6228670417037, 805.8429154210664, 528.61192787728]","[1076.3595225855622, 310.5848742984039, 922.2429035325325, 1358.0, 407.030519765051, 1006.5252467952715, 570.5934232396006, 284.6195348971377, 298.01097368215125, 611.672632664213, 32.3471905113976, 188.9999926021283, 840.1054593322109, 477.28134353983876, 158.18785871082304, 334.47118813602935, 632.081638456977, 614.8660461754968, 706.8352863746956, 475.4588828810997, 585.2176368263879, 341.2007772135159, 1211.2664268456929, 270.5162471800082, 507.1904494055872, 328.81730579196994, 347.18353702603633, 476.90296471028506, 879.4739679428171, 523.8278959904869, 322.8717450312102, 1015.0253403845348, 450.65948280445286, 392.53949286029564, 169.55054053014626, 915.9205725359695, 474.6908157523954, 828.5617597513966, 516.0675841634509, 478.9767241042998, 726.5756604750744, 276.35888447459365, 757.3499368288271, 207.93984422484252, 408.5748575720582, 712.4178926686878, 1206.9424236976722, 404.2162265415048, 747.8448675237696, 379.2137641803488, 674.274347165733, 269.9532149347848, 611.9152378440048, 852.1459034057087, 593.6250894657226]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[840.7276976434362, 321.688388977144, 653.041708817825, 1284.0, 306.8756068948686, 824.1460076592108, 481.1510529879083, 178.8854290516749, 243.1025955408433, 524.6718253331196, 77.01819276004842, 327.0929393418187, 660.7509640173087, 444.4760268342401, 319.45745022446556, 271.28287161439994, 629.3748008243634, 621.9189732219032, 732.4488378835866, 354.62270969916824, 430.8436266058224, 211.06029050471577, 1057.6119839187832, 445.7136471738885, 666.2701561069649, 324.75323209700537, 338.23110346111736, 529.9156963709223, 789.8576464414339, 289.07680848620237, 314.80612104852804, 710.1054430182625, 347.7104762655144, 487.76279549497025, 84.6958577347372, 915.9478528776518, 249.33289137907053, 912.4870795013035, 471.95772200373693, 438.4523076858656, 542.0390293338506, 276.8047531801614, 809.0832495443368, 300.7849173306977, 389.5209197121073, 566.6820015926859, 1098.905677410056, 184.26974071901824, 616.7205132363414, 305.02472254947776, 542.0899791169064, 192.33575830917604, 573.6281476588065, 805.7564122705337, 540.1841253759197]","[1068.7863593122406, 311.58614537072765, 932.7380718752003, 1343.0, 407.030519765051, 1099.1967890882586, 571.5934232396006, 284.6195348971377, 298.6191602128417, 611.7493854584533, 32.3471905113976, 190.9999926021283, 833.5650789056439, 516.2813435398386, 159.1865876384993, 335.47118813602935, 633.081638456977, 615.4357267331637, 706.8352863746956, 475.4588828810997, 585.2176368263879, 342.2007772135159, 1142.9578000226445, 279.6444957225009, 420.6618415077732, 328.81730579196994, 349.0544164062852, 478.90296471028506, 888.5708222339795, 523.3565038883008, 322.8880064065031, 1021.0239653117295, 450.65948280445286, 393.1126561336172, 171.62952949425218, 915.9205725359695, 477.6908157523954, 821.6078636956596, 514.8148248270771, 478.97809917710515, 724.2470790230926, 276.35888447459365, 793.499404823925, 222.93984422484252, 409.78151296416894, 672.7673056452148, 1206.1015825256222, 404.2162265415048, 692.6520549437191, 378.4065767603994, 684.1813329961999, 271.9532149347848, 612.9152378440048, 856.1459034057087, 597.6250894657226]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[876.586211135719, 306.90868606656755, 714.011568213728, 1261.0, 301.87560689486867, 739.6631069470411, 560.5823616318188, 174.84915405627305, 229.74920403457594, 589.7173768372107, 85.69134504097168, 274.66553646347506, 597.4853294166589, 473.0068685810481, 378.7142930753124, 247.4561369875867, 619.3748008243634, 637.5800418056778, 738.146603670955, 346.1360401682978, 410.40591439919956, 244.82259224487552, 1025.6276661914226, 445.7136471738885, 640.7503453297273, 302.6421851993921, 329.65659946319875, 469.0915172140678, 788.589012824312, 287.72229895030955, 316.90755312374336, 771.2199735296505, 371.79252272685375, 481.76279549497025, 79.34633527607873, 879.4916067228304, 332.93388787610473, 907.4870795013035, 467.0687689013502, 439.89880804923814, 532.3291240737714, 277.8047531801614, 790.8282700779946, 241.60909648755256, 388.5209197121073, 520.3860217220065, 1081.3259587234334, 188.8655855207488, 578.4838409241987, 301.59341390556733, 551.4522989657302, 159.16390423888572, 574.6281476588065, 804.858820403952, 538.1841253759197]","[1081.0249343491182, 310.58614537072765, 963.6392165375682, 1344.0, 407.030519765051, 1072.160605615424, 596.6192185408086, 286.6195348971377, 298.6191602128417, 637.1841464777008, 39.54688606122327, 190.9999926021283, 829.5078458178549, 529.9146748949534, 179.94801260162154, 335.47118813602935, 633.081638456977, 553.078765884382, 720.9584289279443, 475.4588828810997, 587.3133817617454, 401.2740929643512, 1156.4595773021558, 279.6444957225009, 509.59056775193363, 327.81730579196994, 346.2358436923961, 478.90296471028506, 885.2711000251982, 526.4277776441404, 321.8880064065031, 1063.8275070076454, 450.65948280445286, 390.1126561336172, 171.62952949425218, 882.9205725359694, 478.20590702174803, 813.1513406818516, 514.2713478408851, 477.08249994755874, 694.0319495858978, 277.35888447459365, 804.6573678449554, 222.93984422484252, 409.78151296416894, 656.8153604772327, 1192.441842225081, 405.7011352721521, 692.6520549437191, 312.38078145919144, 688.4432817890633, 271.9532149347848, 613.9152378440048, 838.248311539127, 589.6250894657225]"
