,kde200,bower
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-08-31 23:59:59,"[0.69999999999999996, 0.58360689906727115, 3.5000364754311915]","[0.69999999999999996, 0.58360689906727115, 3.5000364754311915]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-01 23:59:59,"[0.55813953488372092, 0.50023448491480382, 2.7907267578188901]","[0.51162790697674421, 0.45854827783857016, 2.5581661946673164]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-02 23:59:59,"[0.61702127659574468, 0.60445000260538795, 3.0851385345746065]","[0.5957446808510638, 0.58455114822546972, 2.9835739350597432]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-03 23:59:59,"[0.77142857142857146, 0.56276379552915434, 3.8571830545568235]","[0.7142857142857143, 0.52107758845292063, 3.5714657912563181]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-04 23:59:59,"[0.72972972972972971, 0.56276379552915434, 3.6486866732294274]","[0.78378378378378377, 0.60445000260538795, 3.9189597601353112]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-05 23:59:59,"[0.6875, 0.45854827783857016, 3.4375358240842062]","[0.71875, 0.47939138137668702, 3.5937874524516702]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-06 23:59:59,"[0.57692307692307687, 0.31264655307175238, 2.8846454467839489]","[0.69230769230769229, 0.3751758636861029, 3.4615745361407391]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-07 23:59:59,"[0.5625, 0.3751758636861029, 2.8125293106143503]","[0.75, 0.50023448491480382, 3.7500390808191337]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-08 23:59:59,"[0.57894736842105265, 0.45854827783857016, 2.894767009755121]","[0.65789473684210531, 0.52107758845292063, 3.2895079656308193]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-09 23:59:59,"[0.47727272727272729, 0.43770517430045336, 2.3863885059758125]","[0.56818181818181823, 0.52107758845292063, 2.8409386975902531]"
X: 2016-07-11 00:00:00~2016-09-08 23:59:59 -> Y: 2016-09-09 00:00:00~2016-09-10 23:59:59,"[0.55102040816326525, 0.56276379552915434, 2.7551307532548734]","[0.59183673469387754, 0.60445000260538795, 2.9592145127552349]"
X: 2016-07-12 00:00:00~2016-09-09 23:59:59 -> Y: 2016-09-10 00:00:00~2016-09-11 23:59:59,"[0.59090909090909094, 0.54192069199103743, 2.9545762454938633]","[0.65909090909090906, 0.60445000260538795, 3.2954888892046932]"
X: 2016-07-13 00:00:00~2016-09-10 23:59:59 -> Y: 2016-09-11 00:00:00~2016-09-12 23:59:59,"[0.58490566037735847, 0.64613620968162155, 2.9245587800098907]","[0.660377358490566, 0.72950862383408888, 3.3019212032369731]"
X: 2016-07-14 00:00:00~2016-09-11 23:59:59 -> Y: 2016-09-12 00:00:00~2016-09-13 23:59:59,"[0.61818181818181817, 0.70866552029597207, 3.0909413029781954]","[0.70909090909090911, 0.8128810379865562, 3.5454914945926359]"
X: 2016-07-15 00:00:00~2016-09-12 23:59:59 -> Y: 2016-09-13 00:00:00~2016-09-14 23:59:59,"[0.5, 0.3960189672242197, 2.5000260538794228]","[0.5, 0.3960189672242197, 2.5000260538794228]"
X: 2016-07-16 00:00:00~2016-09-13 23:59:59 -> Y: 2016-09-14 00:00:00~2016-09-15 23:59:59,"[0.56756756756756754, 0.43770517430045336, 2.8378674125117769]","[0.51351351351351349, 0.3960189672242197, 2.5675943256058935]"
X: 2016-07-17 00:00:00~2016-09-14 23:59:59 -> Y: 2016-09-15 00:00:00~2016-09-16 23:59:59,"[0.52000000000000002, 0.54192069199103743, 2.6000270960345997]","[0.5, 0.5214308061320263, 2.5017207216602357]"
X: 2016-07-18 00:00:00~2016-09-15 23:59:59 -> Y: 2016-09-16 00:00:00~2016-09-17 23:59:59,"[0.45833333333333331, 0.45854827783857016, 2.2916905493894708]","[0.45833333333333331, 0.45859607066548547, 2.2919294039988185]"
